onset	duration	trial_type	load_type	processing_stage
1.112	3.16	Num	Low	Cue
4.272	10.034	Num	Low	Encode
14.306	11.303	Num	Low	Maintain
25.609	2.01	Num	Low	Probe
27.619	10.82	Num	Low	Rest
38.439	3.087	Pos	Low	Cue
41.526	10.006	Pos	Low	Encode
51.532	11.28	Pos	Low	Maintain
62.812	1.39	Pos	Low	Probe
64.202	10.773	Pos	Low	Rest
74.975	3.172	Pos	High	Cue
78.147	10.056	Pos	High	Encode
88.203	11.318	Pos	High	Maintain
99.521	5.947	Pos	High	Probe
105.468	10.889	Pos	High	Rest
116.357	3.94	Num	High	Cue
120.297	10.041	Num	High	Encode
130.338	11.321	Num	High	Maintain
141.659	2.523	Num	High	Probe
144.182	10.863	Num	High	Rest
155.045	3.25	Pos	High	Cue
158.295	10.009	Pos	High	Encode
168.304	11.272	Pos	High	Maintain
179.576	3.25	Pos	High	Probe
182.826	10.806	Pos	High	Rest
193.632	3.11	Rot	Low	Cue
196.742	10.007	Rot	Low	Encode
206.749	11.293	Rot	Low	Maintain
218.042	2.26	Rot	Low	Probe
220.302	10.836	Rot	Low	Rest
231.138	3.157	Rot	Low	Cue
234.295	10.01	Rot	Low	Encode
244.305	11.272	Rot	Low	Maintain
255.577	2.551	Rot	Low	Probe
258.128	10.866	Rot	Low	Rest
268.994	3.957	Num	High	Cue
272.951	10.006	Num	High	Encode
282.957	11.322	Num	High	Maintain
294.279	10.007	Num	High	Probe
304.286	10.889	Num	High	Rest
315.175	3.111	Add	Low	Cue
318.286	10.042	Add	Low	Encode
328.328	11.288	Add	Low	Maintain
339.616	2.726	Add	Low	Probe
342.342	10.826	Add	Low	Rest
353.168	3.65	Add	High	Cue
356.818	10.01	Add	High	Encode
366.828	11.321	Add	High	Maintain
378.149	3.13	Add	High	Probe
381.279	10.869	Add	High	Rest
392.148	3.22	Pos	Low	Cue
395.368	10.009	Pos	Low	Encode
405.377	11.322	Pos	Low	Maintain
416.699	1.95	Pos	Low	Probe
418.649	10.881	Pos	Low	Rest
429.53	3.713	Rot	High	Cue
433.243	10.025	Rot	High	Encode
443.268	11.298	Rot	High	Maintain
454.566	1.39	Rot	High	Probe
455.956	10.861	Rot	High	Rest
466.817	3.32	Add	High	Cue
470.137	10.041	Add	High	Encode
480.178	11.293	Add	High	Maintain
491.471	2.989	Add	High	Probe
494.46	10.885	Add	High	Rest
505.345	3.312	Add	Low	Cue
508.657	10.025	Add	Low	Encode
518.682	11.303	Add	Low	Maintain
529.985	2.934	Add	Low	Probe
532.919	10.82	Add	Low	Rest
543.739	3.31	Rot	High	Cue
547.049	10.003	Rot	High	Encode
557.052	11.288	Rot	High	Maintain
568.34	3.458	Rot	High	Probe
571.798	10.837	Rot	High	Rest
582.635	3.09	Num	Low	Cue
585.725	10.025	Num	Low	Encode
595.75	11.302	Num	Low	Maintain
607.052	2.575	Num	Low	Probe
609.627	10	Num	Low	Rest
