onset	duration	trial_type	load_type	processing_stage
1.117	3.318	Num	Low	Cue
4.435	10.026	Num	Low	Encode
14.461	11.251	Num	Low	Maintain
25.712	2.875	Num	Low	Probe
28.587	10.846	Num	Low	Rest
39.433	3.206	Pos	High	Cue
42.639	10.053	Pos	High	Encode
52.692	11.271	Pos	High	Maintain
63.963	2.12	Pos	High	Probe
66.083	10.851	Pos	High	Rest
76.934	3.08	Pos	Low	Cue
80.014	10.003	Pos	Low	Encode
90.017	11.28	Pos	Low	Maintain
101.297	1.61	Pos	Low	Probe
102.907	10.808	Pos	Low	Rest
113.715	3.62	Add	High	Cue
117.335	10.01	Add	High	Encode
127.345	11.321	Add	High	Maintain
138.666	1.56	Add	High	Probe
140.226	10.776	Add	High	Rest
151.002	3.31	Rot	High	Cue
154.312	10.05	Rot	High	Encode
164.362	11.322	Rot	High	Maintain
175.684	4.16	Rot	High	Probe
179.844	10.885	Rot	High	Rest
190.729	3.627	Rot	Low	Cue
194.356	10.056	Rot	Low	Encode
204.412	11.32	Rot	Low	Maintain
215.732	2.812	Rot	Low	Probe
218.544	10.87	Rot	Low	Rest
229.414	3.241	Rot	Low	Cue
232.655	10.01	Rot	Low	Encode
242.665	11.321	Rot	Low	Maintain
253.986	2.02	Rot	Low	Probe
256.006	10.735	Rot	Low	Rest
266.741	3.16	Num	High	Cue
269.901	10.003	Num	High	Encode
279.904	11.287	Num	High	Maintain
291.191	2.366	Num	High	Probe
293.557	10.85	Num	High	Rest
304.407	3.252	Num	Low	Cue
307.659	10.04	Num	Low	Encode
317.699	11.322	Num	Low	Maintain
329.021	2.16	Num	Low	Probe
331.181	10.763	Num	Low	Rest
341.944	3.21	Add	Low	Cue
345.154	10.032	Add	Low	Encode
355.186	11.301	Add	Low	Maintain
366.487	1.82	Add	Low	Probe
368.307	10.798	Add	Low	Rest
379.105	4.517	Num	High	Cue
383.622	10.032	Num	High	Encode
393.654	11.302	Num	High	Maintain
404.956	4.628	Num	High	Probe
409.584	10.794	Num	High	Rest
420.378	3.08	Rot	High	Cue
423.458	10.009	Rot	High	Encode
433.467	11.32	Rot	High	Maintain
444.787	1.66	Rot	High	Probe
446.447	10.84	Rot	High	Rest
457.287	3.369	Pos	Low	Cue
460.656	10.011	Pos	Low	Encode
470.667	11.273	Pos	Low	Maintain
481.94	2.12	Pos	Low	Probe
484.06	10.798	Pos	Low	Rest
494.858	3.47	Pos	High	Cue
498.328	10.041	Pos	High	Encode
508.369	11.293	Pos	High	Maintain
519.662	2.553	Pos	High	Probe
522.215	10.81	Pos	High	Rest
533.025	3.09	Add	High	Cue
536.115	10.044	Add	High	Encode
546.159	11.288	Add	High	Maintain
557.447	3.583	Add	High	Probe
561.03	10.829	Add	High	Rest
571.859	3.4	Add	Low	Cue
575.259	10.006	Add	Low	Encode
585.265	11.279	Add	Low	Maintain
596.544	1.42	Add	Low	Probe
597.964	10	Add	Low	Rest
