onset	duration	trial_type	load_type	processing_stage
1.082	3.342	Num	Low	Cue
4.424	10.032	Num	Low	Encode
14.456	11.321	Num	Low	Maintain
25.777	4.59	Num	Low	Probe
30.367	10.892	Num	Low	Rest
41.259	3.826	Add	High	Cue
45.085	10.026	Add	High	Encode
55.111	11.251	Add	High	Maintain
66.362	10.007	Add	High	Probe
76.369	10.964	Add	High	Rest
87.333	3.17	Num	Low	Cue
90.503	10.025	Num	Low	Encode
100.528	11.303	Num	Low	Maintain
111.831	4.104	Num	Low	Probe
115.935	10.769	Num	Low	Rest
126.704	3.13	Pos	Low	Cue
129.834	10.007	Pos	Low	Encode
139.841	11.279	Pos	Low	Maintain
151.12	3.896	Pos	Low	Probe
155.016	10.82	Pos	Low	Rest
165.836	3.25	Pos	Low	Cue
169.086	10.058	Pos	Low	Encode
179.144	11.328	Pos	Low	Maintain
190.472	3.536	Pos	Low	Probe
194.008	10.824	Pos	Low	Rest
204.832	3.322	Num	High	Cue
208.154	10.056	Num	High	Encode
218.21	11.273	Num	High	Maintain
229.483	7.998	Num	High	Probe
237.481	10.808	Num	High	Rest
248.289	3.08	Rot	Low	Cue
251.369	10.009	Rot	Low	Encode
261.378	11.279	Rot	Low	Maintain
272.657	2.897	Rot	Low	Probe
275.554	10.846	Rot	Low	Rest
286.4	4.05	Pos	High	Cue
290.45	10.034	Pos	High	Encode
300.484	11.301	Pos	High	Maintain
311.785	7.599	Pos	High	Probe
319.384	10.775	Pos	High	Rest
330.159	3.16	Rot	High	Cue
333.319	10.011	Rot	High	Encode
343.33	11.32	Rot	High	Maintain
354.65	5.796	Rot	High	Probe
360.446	10.762	Rot	High	Rest
371.208	4.05	Rot	High	Cue
375.258	10.057	Rot	High	Encode
385.315	11.319	Rot	High	Maintain
396.634	4.044	Rot	High	Probe
400.678	10.826	Rot	High	Rest
411.504	3.14	Add	Low	Cue
414.644	10.025	Add	Low	Encode
424.669	11.252	Add	Low	Maintain
435.921	3.034	Add	Low	Probe
438.955	10.772	Add	Low	Rest
449.727	3.45	Add	High	Cue
453.177	10.041	Add	High	Encode
463.218	11.322	Add	High	Maintain
474.54	5.627	Add	High	Probe
480.167	10.84	Add	High	Rest
491.007	3.52	Pos	High	Cue
494.527	10.041	Pos	High	Encode
504.568	11.322	Pos	High	Maintain
515.89	6.735	Pos	High	Probe
522.625	10.82	Pos	High	Rest
533.445	3.08	Rot	Low	Cue
536.525	10.01	Rot	Low	Encode
546.535	11.329	Rot	Low	Maintain
557.864	3.77	Rot	Low	Probe
561.634	10.758	Rot	Low	Rest
572.392	3.67	Num	High	Cue
576.062	10.009	Num	High	Encode
586.071	11.322	Num	High	Maintain
597.393	6.5	Num	High	Probe
603.893	10.833	Num	High	Rest
614.726	3.09	Add	Low	Cue
617.816	10.025	Add	Low	Encode
627.841	11.301	Add	Low	Maintain
639.142	4.401	Add	Low	Probe
643.543	10	Add	Low	Rest
