onset	duration	trial_type	load_type	processing_stage
1.128	3.103	Num	Low	Cue
4.231	10.007	Num	Low	Encode
14.238	11.298	Num	Low	Maintain
25.536	3.86	Num	Low	Probe
29.396	10.836	Num	Low	Rest
40.232	3.14	Add	High	Cue
43.372	10.041	Add	High	Encode
53.413	11.325	Add	High	Maintain
64.738	6.047	Add	High	Probe
70.785	10.833	Add	High	Rest
81.618	3.27	Rot	Low	Cue
84.888	10.041	Rot	Low	Encode
94.929	11.325	Rot	Low	Maintain
106.254	3.693	Rot	Low	Probe
109.947	10.804	Rot	Low	Rest
120.751	3.14	Num	High	Cue
123.891	10.025	Num	High	Encode
133.916	11.303	Num	High	Maintain
145.219	5.04	Num	High	Probe
150.259	10.826	Num	High	Rest
161.085	3.25	Rot	Low	Cue
164.335	10.007	Rot	Low	Encode
174.342	11.293	Rot	Low	Maintain
185.635	2.905	Rot	Low	Probe
188.54	10.847	Rot	Low	Rest
199.387	3.432	Rot	High	Cue
202.819	10.008	Rot	High	Encode
212.827	11.293	Rot	High	Maintain
224.12	4.543	Rot	High	Probe
228.663	10.826	Rot	High	Rest
239.489	3.45	Rot	High	Cue
242.939	10.009	Rot	High	Encode
252.948	11.33	Rot	High	Maintain
264.278	5.047	Rot	High	Probe
269.325	10.863	Rot	High	Rest
280.188	3.2	Num	High	Cue
283.388	10.011	Num	High	Encode
293.399	11.293	Num	High	Maintain
304.692	5.61	Num	High	Probe
310.302	10.836	Num	High	Rest
321.138	3.25	Add	High	Cue
324.388	10.008	Add	High	Encode
334.396	11.292	Add	High	Maintain
345.688	8.942	Add	High	Probe
354.63	10.856	Add	High	Rest
365.486	3.511	Pos	High	Cue
368.997	10.025	Pos	High	Encode
379.022	11.303	Pos	High	Maintain
390.325	3.121	Pos	High	Probe
393.446	10.878	Pos	High	Rest
404.324	3.17	Num	Low	Cue
407.494	10.007	Num	Low	Encode
417.501	11.279	Num	Low	Maintain
428.78	4.004	Num	Low	Probe
432.784	10.878	Num	Low	Rest
443.662	3.11	Pos	Low	Cue
446.772	10.005	Pos	Low	Encode
456.777	11.301	Pos	Low	Maintain
468.078	3.349	Pos	Low	Probe
471.427	10.82	Pos	Low	Rest
482.247	3.362	Add	Low	Cue
485.609	10.011	Add	Low	Encode
495.62	11.273	Add	Low	Maintain
506.893	3.506	Add	Low	Probe
510.399	10.878	Add	Low	Rest
521.277	4.172	Pos	High	Cue
525.449	10.03	Pos	High	Encode
535.479	11.299	Pos	High	Maintain
546.778	4.509	Pos	High	Probe
551.287	10.78	Pos	High	Rest
562.067	3.452	Pos	Low	Cue
565.519	10.026	Pos	Low	Encode
575.545	11.301	Pos	Low	Maintain
586.846	5.455	Pos	Low	Probe
592.301	10.878	Pos	Low	Rest
603.179	3.12	Add	Low	Cue
606.299	10.058	Add	Low	Encode
616.357	11.271	Add	Low	Maintain
627.628	4.329	Add	Low	Probe
631.957	10	Add	Low	Rest
