onset	duration	trial_type	load_type	processing_stage
1.078	3.248	Add	High	Cue
4.326	10.03	Add	High	Encode
14.356	11.299	Add	High	Maintain
25.655	4.184	Add	High	Probe
29.839	10.775	Add	High	Rest
40.614	3.282	Num	Low	Cue
43.896	10.027	Num	Low	Encode
53.923	11.252	Num	Low	Maintain
65.175	3.412	Num	Low	Probe
68.587	10.836	Num	Low	Rest
79.423	3.14	Rot	High	Cue
82.563	10.04	Rot	High	Encode
92.603	11.292	Rot	High	Maintain
103.895	3.77	Rot	High	Probe
107.665	10.855	Rot	High	Rest
118.52	3.161	Num	Low	Cue
121.681	10.042	Num	Low	Encode
131.723	11.288	Num	Low	Maintain
143.011	2.866	Num	Low	Probe
145.877	10.798	Num	Low	Rest
156.675	3.42	Add	Low	Cue
160.095	10.007	Add	Low	Encode
170.102	11.279	Add	Low	Maintain
181.381	2.694	Add	Low	Probe
184.075	10.8	Add	Low	Rest
194.875	3.14	Num	High	Cue
198.015	10.025	Num	High	Encode
208.04	11.302	Num	High	Maintain
219.342	4.34	Num	High	Probe
223.682	10.785	Num	High	Rest
234.467	4.05	Rot	High	Cue
238.517	10.024	Rot	High	Encode
248.541	11.252	Rot	High	Maintain
259.793	3.942	Rot	High	Probe
263.735	10.808	Rot	High	Rest
274.543	3.081	Add	Low	Cue
277.624	10.004	Add	Low	Encode
287.628	11.298	Add	Low	Maintain
298.926	3.529	Add	Low	Probe
302.455	10.889	Add	Low	Rest
313.344	3.09	Rot	Low	Cue
316.434	10.025	Rot	Low	Encode
326.459	11.303	Rot	Low	Maintain
337.762	3.152	Rot	Low	Probe
340.914	10.847	Rot	Low	Rest
351.761	3.12	Pos	High	Cue
354.881	10.057	Pos	High	Encode
364.938	11.279	Pos	High	Maintain
376.217	2.773	Pos	High	Probe
378.99	10.811	Pos	High	Rest
389.801	3.3	Rot	Low	Cue
393.101	10.026	Rot	Low	Encode
403.127	11.302	Rot	Low	Maintain
414.429	3.808	Rot	Low	Probe
418.237	10.808	Rot	Low	Rest
429.045	3.471	Pos	Low	Cue
432.516	10.01	Pos	Low	Encode
442.526	11.321	Pos	Low	Maintain
453.847	2.31	Pos	Low	Probe
456.157	10.805	Pos	Low	Rest
466.962	3.142	Add	High	Cue
470.104	10.024	Add	High	Encode
480.128	11.302	Add	High	Maintain
491.43	3.293	Add	High	Probe
494.723	10.823	Add	High	Rest
505.546	4.486	Num	High	Cue
510.032	10.01	Num	High	Encode
520.042	11.272	Num	High	Maintain
531.314	3.818	Num	High	Probe
535.132	10.82	Num	High	Rest
545.952	3.608	Pos	Low	Cue
549.56	10.047	Pos	Low	Encode
559.607	11.28	Pos	Low	Maintain
570.887	3.645	Pos	Low	Probe
574.532	10.82	Pos	Low	Rest
585.352	3.2	Pos	High	Cue
588.552	10.057	Pos	High	Encode
598.609	11.272	Pos	High	Maintain
609.881	3.518	Pos	High	Probe
613.399	10	Pos	High	Rest
