onset	duration	trial_type	load_type	processing_stage
1.062	3.222	Pos	High	Cue
4.284	10.006	Pos	High	Encode
14.29	11.273	Pos	High	Maintain
25.563	3.951	Pos	High	Probe
29.514	10.808	Pos	High	Rest
40.322	3.293	Rot	Low	Cue
43.615	10.011	Rot	Low	Encode
53.626	11.324	Rot	Low	Maintain
64.95	1.39	Rot	Low	Probe
66.34	10.864	Rot	Low	Rest
77.204	3.793	Rot	High	Cue
80.997	10.011	Rot	High	Encode
91.008	11.279	Rot	High	Maintain
102.287	2.695	Rot	High	Probe
104.982	10.807	Rot	High	Rest
115.789	3.127	Add	Low	Cue
118.916	10.009	Add	Low	Encode
128.925	11.273	Add	Low	Maintain
140.198	2.523	Add	Low	Probe
142.721	10.82	Add	Low	Rest
153.541	3.071	Pos	Low	Cue
156.612	10.004	Pos	Low	Encode
166.616	11.33	Pos	Low	Maintain
177.946	4.138	Pos	Low	Probe
182.084	10.79	Pos	Low	Rest
192.874	3.041	Num	Low	Cue
195.915	10.009	Num	Low	Encode
205.924	11.28	Num	Low	Maintain
217.204	2.771	Num	Low	Probe
219.975	10.813	Num	Low	Rest
230.788	3.512	Add	Low	Cue
234.3	10.008	Add	Low	Encode
244.308	11.272	Add	Low	Maintain
255.58	2.1	Add	Low	Probe
257.68	10.828	Add	Low	Rest
268.508	3.221	Num	Low	Cue
271.729	10.004	Num	Low	Encode
281.733	11.278	Num	Low	Maintain
293.011	2.14	Num	Low	Probe
295.151	10.788	Num	Low	Rest
305.939	3.465	Add	High	Cue
309.404	10.026	Add	High	Encode
319.43	11.303	Add	High	Maintain
330.733	3.582	Add	High	Probe
334.315	10.79	Add	High	Rest
345.105	3.454	Num	High	Cue
348.559	10.001	Num	High	Encode
358.56	11.325	Num	High	Maintain
369.885	3.782	Num	High	Probe
373.667	10.835	Num	High	Rest
384.502	3.05	Add	High	Cue
387.552	10.006	Add	High	Encode
397.558	11.32	Add	High	Maintain
408.878	4.403	Add	High	Probe
413.281	10.777	Add	High	Rest
424.058	3.397	Pos	Low	Cue
427.455	10.026	Pos	Low	Encode
437.481	11.304	Pos	Low	Maintain
448.785	2.659	Pos	Low	Probe
451.444	10.795	Pos	Low	Rest
462.239	4.184	Pos	High	Cue
466.423	10.045	Pos	High	Encode
476.468	11.281	Pos	High	Maintain
487.749	5.596	Pos	High	Probe
493.345	10.829	Pos	High	Rest
504.174	3.414	Rot	Low	Cue
507.588	10.026	Rot	Low	Encode
517.614	11.304	Rot	Low	Maintain
528.918	2.1	Rot	Low	Probe
531.018	10.733	Rot	Low	Rest
541.751	3.388	Num	High	Cue
545.139	10.002	Num	High	Encode
555.141	11.294	Num	High	Maintain
566.435	2.94	Num	High	Probe
569.375	10.814	Num	High	Rest
580.189	3.543	Rot	High	Cue
583.732	10.011	Rot	High	Encode
593.743	11.324	Rot	High	Maintain
605.067	2.986	Rot	High	Probe
608.053	10	Rot	High	Rest
