onset	duration	trial_type	load_type	processing_stage
1.085	3.298	Rot	High	Cue
4.383	10.012	Rot	High	Encode
14.395	11.322	Rot	High	Maintain
25.717	7.188	Rot	High	Probe
32.905	10.862	Rot	High	Rest
43.767	3.454	Add	High	Cue
47.221	10.031	Add	High	Encode
57.252	11.299	Add	High	Maintain
68.551	2.747	Add	High	Probe
71.298	10.837	Add	High	Rest
82.135	3.2	Num	High	Cue
85.335	10.011	Num	High	Encode
95.346	11.295	Num	High	Maintain
106.641	1.97	Num	High	Probe
108.611	10.808	Num	High	Rest
119.419	3.14	Add	Low	Cue
122.559	10.025	Add	Low	Encode
132.584	11.303	Add	Low	Maintain
143.887	4.05	Add	Low	Probe
147.937	10.864	Add	Low	Rest
158.801	3.171	Pos	Low	Cue
161.972	10.01	Pos	Low	Encode
171.982	11.322	Pos	Low	Maintain
183.304	3.879	Pos	Low	Probe
187.183	10.819	Pos	Low	Rest
198.002	3.27	Add	Low	Cue
201.272	10.009	Add	Low	Encode
211.281	11.32	Add	Low	Maintain
222.601	2.702	Add	Low	Probe
225.303	10.833	Add	Low	Rest
236.136	3.14	Num	Low	Cue
239.276	10.041	Num	Low	Encode
249.317	11.327	Num	Low	Maintain
260.644	3.412	Num	Low	Probe
264.056	10.837	Num	Low	Rest
274.893	3.21	Num	Low	Cue
278.103	10.003	Num	Low	Encode
288.106	11.287	Num	Low	Maintain
299.393	2.03	Num	Low	Probe
301.423	10.798	Num	Low	Rest
312.221	3.34	Rot	Low	Cue
315.561	10.025	Rot	Low	Encode
325.586	11.303	Rot	Low	Maintain
336.889	5.539	Rot	Low	Probe
342.428	10.879	Rot	Low	Rest
353.307	3.82	Rot	High	Cue
357.127	10.056	Rot	High	Encode
367.183	11.273	Rot	High	Maintain
378.456	2.632	Rot	High	Probe
381.088	10.792	Rot	High	Rest
391.88	3.5	Num	High	Cue
395.38	10.057	Num	High	Encode
405.437	11.271	Num	High	Maintain
416.708	3.053	Num	High	Probe
419.761	10.78	Num	High	Rest
430.541	3.14	Pos	High	Cue
433.681	10.024	Pos	High	Encode
443.705	11.303	Pos	High	Maintain
455.008	4.791	Pos	High	Probe
459.799	10.826	Pos	High	Rest
470.625	3.322	Pos	High	Cue
473.947	10.056	Pos	High	Encode
484.003	11.322	Pos	High	Maintain
495.325	6.896	Pos	High	Probe
502.221	10.804	Pos	High	Rest
513.025	3.24	Rot	Low	Cue
516.265	10.025	Rot	Low	Encode
526.29	11.303	Rot	Low	Maintain
537.593	3.823	Rot	Low	Probe
541.416	10.856	Rot	Low	Rest
552.272	3.241	Add	High	Cue
555.513	10.01	Add	High	Encode
565.523	11.321	Add	High	Maintain
576.844	6.136	Add	High	Probe
582.98	10.763	Add	High	Rest
593.743	3.14	Pos	Low	Cue
596.883	10.041	Pos	Low	Encode
606.924	11.321	Pos	Low	Maintain
618.245	6.142	Pos	Low	Probe
624.387	10	Pos	Low	Rest
