onset	duration	trial_type	load_type	processing_stage
1.084	3.2	Add	Low	Cue
4.284	10.05	Add	Low	Encode
14.334	11.252	Add	Low	Maintain
25.586	3.177	Add	Low	Probe
28.763	10.571	Add	Low	Rest
39.334	3.084	Rot	Low	Cue
42.418	10.033	Rot	Low	Encode
52.451	11.251	Rot	Low	Maintain
63.702	3.357	Rot	Low	Probe
67.059	10.525	Rot	Low	Rest
77.584	3.534	Rot	High	Cue
81.118	10.033	Rot	High	Encode
91.151	11.251	Rot	High	Maintain
102.402	4.833	Rot	High	Probe
107.235	10.549	Rot	High	Rest
117.784	3.084	Pos	Low	Cue
120.868	10.033	Pos	Low	Encode
130.901	11.251	Pos	Low	Maintain
142.152	3.499	Pos	Low	Probe
145.651	10.551	Pos	Low	Rest
156.202	3.116	Rot	Low	Cue
159.318	10.05	Rot	Low	Encode
169.368	11.251	Rot	Low	Maintain
180.619	6.36	Rot	Low	Probe
186.979	10.505	Rot	Low	Rest
197.484	3.134	Num	Low	Cue
200.618	10.033	Num	Low	Encode
210.651	11.251	Num	Low	Maintain
221.902	2.677	Num	Low	Probe
224.579	10.539	Num	Low	Rest
235.118	4.15	Pos	High	Cue
239.268	10.033	Pos	High	Encode
249.301	11.251	Pos	High	Maintain
260.552	3.78	Pos	High	Probe
264.332	10.519	Pos	High	Rest
274.851	3.117	Add	High	Cue
277.968	10.05	Add	High	Encode
288.018	11.251	Add	High	Maintain
299.269	5.126	Add	High	Probe
304.395	10.539	Add	High	Rest
314.934	3.084	Add	High	Cue
318.018	10.033	Add	High	Encode
328.051	11.252	Add	High	Maintain
339.303	6.596	Add	High	Probe
345.899	10.535	Add	High	Rest
356.434	3.384	Pos	High	Cue
359.818	10.05	Pos	High	Encode
369.868	11.251	Pos	High	Maintain
381.119	7.508	Pos	High	Probe
388.627	10.524	Pos	High	Rest
399.151	3.433	Add	Low	Cue
402.584	10.034	Add	Low	Encode
412.618	11.251	Add	Low	Maintain
423.869	2.574	Add	Low	Probe
426.443	10.508	Add	Low	Rest
436.951	3.883	Num	High	Cue
440.834	10.034	Num	High	Encode
450.868	11.252	Num	High	Maintain
462.12	3.635	Num	High	Probe
465.755	10.529	Num	High	Rest
476.284	4.2	Rot	High	Cue
480.484	10.034	Rot	High	Encode
490.518	11.251	Rot	High	Maintain
501.769	6.658	Rot	High	Probe
508.427	10.507	Rot	High	Rest
518.934	3.117	Num	High	Cue
522.051	10.05	Num	High	Encode
532.101	11.251	Num	High	Maintain
543.352	3.203	Num	High	Probe
546.555	10.546	Num	High	Rest
557.101	3.167	Pos	Low	Cue
560.268	10.033	Pos	Low	Encode
570.301	11.251	Pos	Low	Maintain
581.552	6.699	Pos	Low	Probe
588.251	10.55	Pos	Low	Rest
598.801	3.133	Num	Low	Cue
601.934	10.034	Num	Low	Encode
611.968	11.251	Num	Low	Maintain
623.219	6.985	Num	Low	Probe
630.204	10	Num	Low	Rest
