onset	duration	trial_type	load_type	processing_stage
1.072	3.083	Num	High	Cue
4.155	10.034	Num	High	Encode
14.189	11.253	Num	High	Maintain
25.442	5.288	Num	High	Probe
30.73	10.542	Num	High	Rest
41.272	3.95	Rot	High	Cue
45.222	10.05	Rot	High	Encode
55.272	11.251	Rot	High	Maintain
66.523	4.2	Rot	High	Probe
70.723	10.549	Rot	High	Rest
81.272	3.167	Pos	High	Cue
84.439	10.033	Pos	High	Encode
94.472	11.252	Pos	High	Maintain
105.724	9.598	Pos	High	Probe
115.322	10.533	Pos	High	Rest
125.855	3.117	Num	Low	Cue
128.972	10.05	Num	Low	Encode
139.022	11.251	Num	Low	Maintain
150.273	4.073	Num	Low	Probe
154.346	10.509	Num	Low	Rest
164.855	3.084	Add	Low	Cue
167.939	10.033	Add	Low	Encode
177.972	11.251	Add	Low	Maintain
189.223	7.251	Add	Low	Probe
196.474	10.548	Add	Low	Rest
207.022	3.2	Num	Low	Cue
210.222	10.05	Num	Low	Encode
220.272	11.251	Num	Low	Maintain
231.523	4.943	Num	Low	Probe
236.466	10.506	Num	Low	Rest
246.972	3.583	Rot	High	Cue
250.555	10.05	Rot	High	Encode
260.605	11.251	Rot	High	Maintain
271.856	9.267	Rot	High	Probe
281.123	10.516	Rot	High	Rest
291.639	3.166	Add	High	Cue
294.805	10.05	Add	High	Encode
304.855	11.251	Add	High	Maintain
316.106	6	Add	High	Probe
322.106	10.533	Add	High	Rest
332.639	3.133	Rot	Low	Cue
335.772	10.033	Rot	Low	Encode
345.805	11.251	Rot	Low	Maintain
357.056	4.586	Rot	Low	Probe
361.642	10.547	Rot	Low	Rest
372.189	3.333	Rot	Low	Cue
375.522	10.05	Rot	Low	Encode
385.572	11.251	Rot	Low	Maintain
396.823	4.091	Rot	Low	Probe
400.914	10.525	Rot	Low	Rest
411.439	3.216	Pos	High	Cue
414.655	10.034	Pos	High	Encode
424.689	11.252	Pos	High	Maintain
435.941	7.893	Pos	High	Probe
443.834	10.522	Pos	High	Rest
454.356	3.849	Add	High	Cue
458.205	10.05	Add	High	Encode
468.255	11.251	Add	High	Maintain
479.506	5.744	Add	High	Probe
485.25	10.505	Add	High	Rest
495.755	3.484	Add	Low	Cue
499.239	10.05	Add	Low	Encode
509.289	11.251	Add	Low	Maintain
520.54	10.032	Add	Low	Probe
530.572	10.5	Add	Low	Rest
541.072	4.333	Num	High	Cue
545.405	10.05	Num	High	Encode
555.455	11.251	Num	High	Maintain
566.706	4.64	Num	High	Probe
571.346	10.526	Num	High	Rest
581.872	3.117	Pos	Low	Cue
584.989	10.05	Pos	Low	Encode
595.039	11.251	Pos	Low	Maintain
606.29	7.592	Pos	Low	Probe
613.882	10.523	Pos	Low	Rest
624.405	3.284	Pos	Low	Cue
627.689	10.033	Pos	Low	Encode
637.722	11.251	Pos	Low	Maintain
648.973	4.821	Pos	Low	Probe
653.794	10	Pos	Low	Rest
