onset	duration	trial_type	load_type	processing_stage
1.115	3.617	Rot	High	Cue
4.732	10.05	Rot	High	Encode
14.782	11.253	Rot	High	Maintain
26.035	3.136	Rot	High	Probe
29.171	10.527	Rot	High	Rest
39.698	3.75	Rot	Low	Cue
43.448	10.05	Rot	Low	Encode
53.498	11.251	Rot	Low	Maintain
64.749	2.142	Rot	Low	Probe
66.891	10.524	Rot	Low	Rest
77.415	3.2	Num	Low	Cue
80.615	10.05	Num	Low	Encode
90.665	11.251	Num	Low	Maintain
101.916	2.815	Num	Low	Probe
104.731	10.517	Num	Low	Rest
115.248	3.25	Add	High	Cue
118.498	10.05	Add	High	Encode
128.548	11.251	Add	High	Maintain
139.799	10.033	Add	High	Probe
149.832	10.5	Add	High	Rest
160.332	3.516	Rot	High	Cue
163.848	10.034	Rot	High	Encode
173.882	11.251	Rot	High	Maintain
185.133	5.254	Rot	High	Probe
190.387	10.545	Rot	High	Rest
200.932	3.083	Num	High	Cue
204.015	10.033	Num	High	Encode
214.048	11.251	Num	High	Maintain
225.299	4.737	Num	High	Probe
230.036	10.512	Num	High	Rest
240.548	3.134	Pos	Low	Cue
243.682	10.033	Pos	Low	Encode
253.715	11.251	Pos	Low	Maintain
264.966	6.765	Pos	Low	Probe
271.731	10.534	Pos	Low	Rest
282.265	3.167	Add	High	Cue
285.432	10.033	Add	High	Encode
295.465	11.251	Add	High	Maintain
306.716	2.991	Add	High	Probe
309.707	10.508	Add	High	Rest
320.215	3.217	Rot	Low	Cue
323.432	10.033	Rot	Low	Encode
333.465	11.251	Rot	Low	Maintain
344.716	10.049	Rot	Low	Probe
354.765	10.5	Rot	Low	Rest
365.265	3.117	Pos	High	Cue
368.382	10.05	Pos	High	Encode
378.432	11.251	Pos	High	Maintain
389.683	10.032	Pos	High	Probe
399.715	10.5	Pos	High	Rest
410.215	3.133	Pos	High	Cue
413.348	10.034	Pos	High	Encode
423.382	11.251	Pos	High	Maintain
434.633	3.723	Pos	High	Probe
438.356	10.526	Pos	High	Rest
448.882	3.166	Pos	Low	Cue
452.048	10.05	Pos	Low	Encode
462.098	11.251	Pos	Low	Maintain
473.349	5.03	Pos	Low	Probe
478.379	10.503	Pos	Low	Rest
488.882	3.216	Add	Low	Cue
492.098	10.034	Add	Low	Encode
502.132	11.251	Add	Low	Maintain
513.383	3.604	Add	Low	Probe
516.987	10.528	Add	Low	Rest
527.515	3.517	Num	High	Cue
531.032	10.05	Num	High	Encode
541.082	11.252	Num	High	Maintain
552.334	3.885	Num	High	Probe
556.219	10.529	Num	High	Rest
566.748	3.167	Add	Low	Cue
569.915	10.033	Add	Low	Encode
579.948	11.251	Add	Low	Maintain
591.199	2.052	Add	Low	Probe
593.251	10.531	Add	Low	Rest
603.782	3.166	Num	Low	Cue
606.948	10.05	Num	Low	Encode
616.998	11.251	Num	Low	Maintain
628.249	5.627	Num	Low	Probe
633.876	10	Num	Low	Rest
