onset	duration	trial_type	load_type	processing_stage
1.082	3.289	Num	High	Cue
4.371	10.011	Num	High	Encode
14.382	11.273	Num	High	Maintain
25.655	2.429	Num	High	Probe
28.084	10.788	Num	High	Rest
38.872	4.415	Rot	High	Cue
43.287	10.004	Rot	High	Encode
53.291	11.287	Rot	High	Maintain
64.578	3.88	Rot	High	Probe
68.458	10.833	Rot	High	Rest
79.291	3.905	Rot	Low	Cue
83.196	10.025	Rot	Low	Encode
93.221	11.302	Rot	Low	Maintain
104.523	1.55	Rot	Low	Probe
106.073	10.784	Rot	Low	Rest
116.857	3.252	Add	Low	Cue
120.109	10.008	Add	Low	Encode
130.117	11.273	Add	Low	Maintain
141.39	1.43	Add	Low	Probe
142.82	10.821	Add	Low	Rest
153.641	3.14	Pos	Low	Cue
156.781	10.025	Pos	Low	Encode
166.806	11.302	Pos	Low	Maintain
178.108	2.778	Pos	Low	Probe
180.886	10.888	Pos	Low	Rest
191.774	3.12	Num	High	Cue
194.894	10.01	Num	High	Encode
204.904	11.322	Num	High	Maintain
216.226	2.912	Num	High	Probe
219.138	10.767	Num	High	Rest
229.905	3.211	Add	Low	Cue
233.116	10.025	Add	Low	Encode
243.141	11.302	Add	Low	Maintain
254.443	1.41	Add	Low	Probe
255.853	10.84	Add	Low	Rest
266.693	3.09	Rot	Low	Cue
269.783	10.025	Rot	Low	Encode
279.808	11.302	Rot	Low	Maintain
291.11	1.99	Rot	Low	Probe
293.1	10.799	Rot	Low	Rest
303.899	3.41	Pos	High	Cue
307.309	10.003	Pos	High	Encode
317.312	11.287	Pos	High	Maintain
328.599	3.13	Pos	High	Probe
331.729	10.833	Pos	High	Rest
342.562	3.12	Pos	High	Cue
345.682	10.057	Pos	High	Encode
355.739	11.329	Pos	High	Maintain
367.068	2.34	Pos	High	Probe
369.408	10.824	Pos	High	Rest
380.232	3.47	Rot	High	Cue
383.702	10.039	Rot	High	Encode
393.741	11.322	Rot	High	Maintain
405.063	1.76	Rot	High	Probe
406.823	10.821	Rot	High	Rest
417.644	3.47	Num	Low	Cue
421.114	10.01	Num	Low	Encode
431.124	11.271	Num	Low	Maintain
442.395	2.08	Num	Low	Probe
444.475	10.84	Num	Low	Rest
455.315	3.58	Add	High	Cue
458.895	10.003	Add	High	Encode
468.898	11.288	Add	High	Maintain
480.186	1.96	Add	High	Probe
482.146	10.846	Add	High	Rest
492.992	3.192	Pos	Low	Cue
496.184	10.057	Pos	Low	Encode
506.241	11.273	Pos	Low	Maintain
517.514	1.01	Pos	Low	Probe
518.524	10.83	Pos	Low	Rest
529.354	3.293	Num	Low	Cue
532.647	10.002	Num	Low	Encode
542.649	11.288	Num	Low	Maintain
553.937	1.69	Num	Low	Probe
555.627	10.776	Num	Low	Rest
566.403	3.08	Add	High	Cue
569.483	10.01	Add	High	Encode
579.493	11.33	Add	High	Maintain
590.823	3.721	Add	High	Probe
594.544	10	Add	High	Rest
