onset	duration	trial_type	load_type	processing_stage
1.081	3.77	Pos	High	Cue
4.851	10.026	Pos	High	Encode
14.877	11.302	Pos	High	Maintain
26.179	1.87	Pos	High	Probe
28.049	10.83	Pos	High	Rest
38.879	3.3	Rot	Low	Cue
42.179	10.003	Rot	Low	Encode
52.182	11.287	Rot	Low	Maintain
63.469	1.96	Rot	Low	Probe
65.429	10.846	Rot	Low	Rest
76.275	3.731	Num	High	Cue
80.006	10.053	Num	High	Encode
90.059	11.271	Num	High	Maintain
101.33	2.367	Num	High	Probe
103.697	10.767	Num	High	Rest
114.464	6.06	Rot	High	Cue
120.524	10.023	Rot	High	Encode
130.547	11.301	Rot	High	Maintain
141.848	2.388	Rot	High	Probe
144.236	10.863	Rot	High	Rest
155.099	3.08	Add	High	Cue
158.179	10.003	Add	High	Encode
168.182	11.284	Add	High	Maintain
179.466	3.646	Add	High	Probe
183.112	10.852	Add	High	Rest
193.964	3.4	Pos	High	Cue
197.364	10.004	Pos	High	Encode
207.368	11.281	Pos	High	Maintain
218.649	2.41	Pos	High	Probe
221.059	10.812	Pos	High	Rest
231.871	3.48	Add	High	Cue
235.351	10.01	Add	High	Encode
245.361	11.33	Add	High	Maintain
256.691	2.567	Add	High	Probe
259.258	10.689	Add	High	Rest
269.947	3.241	Rot	Low	Cue
273.188	10.041	Rot	Low	Encode
283.229	11.322	Rot	Low	Maintain
294.551	2.2	Rot	Low	Probe
296.751	10.85	Rot	Low	Rest
307.601	3.09	Pos	Low	Cue
310.691	10.025	Pos	Low	Encode
320.716	11.303	Pos	Low	Maintain
332.019	1.75	Pos	Low	Probe
333.769	10.844	Pos	Low	Rest
344.613	3.077	Pos	Low	Cue
347.69	10.041	Pos	Low	Encode
357.731	11.321	Pos	Low	Maintain
369.052	3.21	Pos	Low	Probe
372.262	10.853	Pos	Low	Rest
383.115	3.191	Add	Low	Cue
386.306	10.058	Add	Low	Encode
396.364	11.329	Add	Low	Maintain
407.693	1.67	Add	Low	Probe
409.363	10.869	Add	Low	Rest
420.232	3.484	Num	High	Cue
423.716	10.032	Num	High	Encode
433.748	11.293	Num	High	Maintain
445.041	3.644	Num	High	Probe
448.685	10.801	Num	High	Rest
459.486	3.302	Add	Low	Cue
462.788	10.011	Add	Low	Encode
472.799	11.272	Add	Low	Maintain
484.071	2.26	Add	Low	Probe
486.331	10.825	Add	Low	Rest
497.156	3.171	Rot	High	Cue
500.327	10.056	Rot	High	Encode
510.383	11.272	Rot	High	Maintain
521.655	3.693	Rot	High	Probe
525.348	10.805	Rot	High	Rest
536.153	3.17	Num	Low	Cue
539.323	10.011	Num	Low	Encode
549.334	11.32	Num	Low	Maintain
560.654	2.04	Num	Low	Probe
562.694	10.796	Num	Low	Rest
573.49	3.13	Num	Low	Cue
576.62	10.004	Num	Low	Encode
586.624	11.288	Num	Low	Maintain
597.912	2.04	Num	Low	Probe
599.952	10	Num	Low	Rest
