onset	duration	trial_type	load_type	processing_stage
1.071	3.434	Add	High	Cue
4.505	10.05	Add	High	Encode
14.555	11.253	Add	High	Maintain
25.808	4.8	Add	High	Probe
30.608	10.53	Add	High	Rest
41.138	3.117	Add	Low	Cue
44.255	10.05	Add	Low	Encode
54.305	11.251	Add	Low	Maintain
65.556	3.347	Add	Low	Probe
68.903	10.518	Add	Low	Rest
79.421	3.134	Num	High	Cue
82.555	10.033	Num	High	Encode
92.588	11.251	Num	High	Maintain
103.839	3.832	Num	High	Probe
107.671	10.5	Num	High	Rest
118.171	4.367	Pos	High	Cue
122.538	10.033	Pos	High	Encode
132.571	11.252	Pos	High	Maintain
143.823	4.287	Pos	High	Probe
148.11	10.511	Pos	High	Rest
158.621	3.167	Add	Low	Cue
161.788	10.033	Add	Low	Encode
171.821	11.251	Add	Low	Maintain
183.072	7.775	Add	Low	Probe
190.847	10.524	Add	Low	Rest
201.371	4.767	Add	High	Cue
206.138	10.033	Add	High	Encode
216.171	11.251	Add	High	Maintain
227.422	7.792	Add	High	Probe
235.214	10.507	Add	High	Rest
245.721	3.084	Pos	Low	Cue
248.805	10.033	Pos	Low	Encode
258.838	11.251	Pos	Low	Maintain
270.089	1.965	Pos	Low	Probe
272.054	10.501	Pos	Low	Rest
282.555	3.85	Num	High	Cue
286.405	10.05	Num	High	Encode
296.455	11.251	Num	High	Maintain
307.706	8.397	Num	High	Probe
316.103	10.518	Num	High	Rest
326.621	3.084	Rot	High	Cue
329.705	10.033	Rot	High	Encode
339.738	11.251	Rot	High	Maintain
350.989	2.89	Rot	High	Probe
353.879	10.526	Rot	High	Rest
364.405	3.216	Num	Low	Cue
367.621	10.034	Num	Low	Encode
377.655	11.251	Num	Low	Maintain
388.906	3.444	Num	Low	Probe
392.35	10.521	Num	Low	Rest
402.871	3.484	Pos	High	Cue
406.355	10.033	Pos	High	Encode
416.388	11.251	Pos	High	Maintain
427.639	4.599	Pos	High	Probe
432.238	10.533	Pos	High	Rest
442.771	3.2	Rot	Low	Cue
445.971	10.05	Rot	Low	Encode
456.021	11.251	Rot	Low	Maintain
467.272	3.207	Rot	Low	Probe
470.479	10.542	Rot	Low	Rest
481.021	3.384	Num	Low	Cue
484.405	10.033	Num	Low	Encode
494.438	11.251	Num	Low	Maintain
505.689	2.902	Num	Low	Probe
508.591	10.514	Num	Low	Rest
519.105	3.816	Rot	High	Cue
522.921	10.034	Rot	High	Encode
532.955	11.251	Rot	High	Maintain
544.206	5.32	Rot	High	Probe
549.526	10.512	Rot	High	Rest
560.038	3.283	Pos	Low	Cue
563.321	10.034	Pos	Low	Encode
573.355	11.251	Pos	Low	Maintain
584.606	3.072	Pos	Low	Probe
587.678	10.51	Pos	Low	Rest
598.188	3.083	Rot	Low	Cue
601.271	10.05	Rot	Low	Encode
611.321	11.251	Rot	Low	Maintain
622.572	3.867	Rot	Low	Probe
626.439	10	Rot	Low	Rest
