onset	duration	trial_type	load_type	processing_stage
1.076	3.167	Num	Low	Cue
4.243	10.05	Num	Low	Encode
14.293	11.252	Num	Low	Maintain
25.545	2.666	Num	Low	Probe
28.211	10.532	Num	Low	Rest
38.743	3.883	Pos	High	Cue
42.626	10.05	Pos	High	Encode
52.676	11.251	Pos	High	Maintain
63.927	2.788	Pos	High	Probe
66.715	10.544	Pos	High	Rest
77.259	3.167	Add	Low	Cue
80.426	10.033	Add	Low	Encode
90.459	11.251	Add	Low	Maintain
101.71	3.925	Add	Low	Probe
105.635	10.541	Add	Low	Rest
116.176	3.433	Rot	High	Cue
119.609	10.034	Rot	High	Encode
129.643	11.251	Rot	High	Maintain
140.894	4.652	Rot	High	Probe
145.546	10.513	Rot	High	Rest
156.059	3.134	Add	High	Cue
159.193	10.033	Add	High	Encode
169.226	11.251	Add	High	Maintain
180.477	6.382	Add	High	Probe
186.859	10.5	Add	High	Rest
197.359	3.667	Num	Low	Cue
201.026	10.05	Num	Low	Encode
211.076	11.251	Num	Low	Maintain
222.327	2.684	Num	Low	Probe
225.011	10.515	Num	Low	Rest
235.526	3.533	Pos	High	Cue
239.059	10.05	Pos	High	Encode
249.109	11.252	Pos	High	Maintain
260.361	3.201	Pos	High	Probe
263.562	10.547	Pos	High	Rest
274.109	4.067	Rot	High	Cue
278.176	10.033	Rot	High	Encode
288.209	11.251	Rot	High	Maintain
299.46	6.695	Rot	High	Probe
306.155	10.521	Rot	High	Rest
316.676	3.167	Rot	Low	Cue
319.843	10.033	Rot	Low	Encode
329.876	11.251	Rot	Low	Maintain
341.127	8.46	Rot	Low	Probe
349.587	10.506	Rot	Low	Rest
360.093	3.4	Num	High	Cue
363.493	10.033	Num	High	Encode
373.526	11.251	Num	High	Maintain
384.777	5.881	Num	High	Probe
390.658	10.501	Num	High	Rest
401.159	3.084	Pos	Low	Cue
404.243	10.033	Pos	Low	Encode
414.276	11.301	Pos	Low	Maintain
425.577	2.682	Pos	Low	Probe
428.259	10.517	Pos	Low	Rest
438.776	3.25	Rot	Low	Cue
442.026	10.033	Rot	Low	Encode
452.059	11.251	Rot	Low	Maintain
463.31	4.829	Rot	Low	Probe
468.139	10.504	Rot	Low	Rest
478.643	3.283	Num	High	Cue
481.926	10.05	Num	High	Encode
491.976	11.251	Num	High	Maintain
503.227	4.96	Num	High	Probe
508.187	10.539	Num	High	Rest
518.726	3.2	Pos	Low	Cue
521.926	10.05	Pos	Low	Encode
531.976	11.251	Pos	Low	Maintain
543.227	5.255	Pos	Low	Probe
548.482	10.527	Pos	Low	Rest
559.009	3.217	Add	Low	Cue
562.226	10.033	Add	Low	Encode
572.259	11.251	Add	Low	Maintain
583.51	6.541	Add	Low	Probe
590.051	10.508	Add	Low	Rest
600.559	3.584	Add	High	Cue
604.143	10.05	Add	High	Encode
614.193	11.251	Add	High	Maintain
625.444	5.295	Add	High	Probe
630.739	10	Add	High	Rest
