onset	duration	trial_type	load_type	processing_stage
1.085	3.335	Pos	Low	Cue
4.42	10.01	Pos	Low	Encode
14.43	11.273	Pos	Low	Maintain
25.703	5.406	Pos	Low	Probe
31.109	10.809	Pos	Low	Rest
41.918	3.365	Add	High	Cue
45.283	10.032	Add	High	Encode
55.315	11.295	Add	High	Maintain
66.61	5.666	Add	High	Probe
72.276	10.83	Add	High	Rest
83.106	3.32	Pos	High	Cue
86.426	10.041	Pos	High	Encode
96.467	11.322	Pos	High	Maintain
107.789	9.901	Pos	High	Probe
117.69	10.846	Pos	High	Rest
128.536	3.14	Pos	Low	Cue
131.676	10.041	Pos	Low	Encode
141.717	11.322	Pos	Low	Maintain
153.039	4.769	Pos	Low	Probe
157.808	10.814	Pos	Low	Rest
168.622	4.292	Num	High	Cue
172.914	10.038	Num	High	Encode
182.952	11.322	Num	High	Maintain
194.274	5.05	Num	High	Probe
199.324	10.78	Num	High	Rest
210.104	3.32	Rot	Low	Cue
213.424	10.01	Rot	Low	Encode
223.434	11.271	Rot	Low	Maintain
234.705	3.44	Rot	Low	Probe
238.145	10.81	Rot	Low	Rest
248.955	3.14	Add	Low	Cue
252.095	10.041	Add	Low	Encode
262.136	11.322	Add	Low	Maintain
273.458	5.83	Add	Low	Probe
279.288	10.885	Add	Low	Rest
290.173	3.09	Add	Low	Cue
293.263	10.025	Add	Low	Encode
303.288	11.303	Add	Low	Maintain
314.591	3.926	Add	Low	Probe
318.517	10.746	Add	Low	Rest
329.263	4.703	Rot	High	Cue
333.966	10.037	Rot	High	Encode
344.003	11.319	Rot	High	Maintain
355.322	10.007	Rot	High	Probe
365.329	10.911	Rot	High	Rest
376.24	3.14	Num	High	Cue
379.38	10.025	Num	High	Encode
389.405	11.303	Num	High	Maintain
400.708	10.032	Num	High	Probe
410.74	10.813	Num	High	Rest
421.553	3.161	Pos	High	Cue
424.714	10.026	Pos	High	Encode
434.74	11.302	Pos	High	Maintain
446.042	8.887	Pos	High	Probe
454.929	10.813	Pos	High	Rest
465.742	3.37	Rot	High	Cue
469.112	10.041	Rot	High	Encode
479.153	11.293	Rot	High	Maintain
490.446	6.515	Rot	High	Probe
496.961	10.846	Rot	High	Rest
507.807	3.09	Num	Low	Cue
510.897	10.057	Num	Low	Encode
520.954	11.319	Num	Low	Maintain
532.273	2.875	Num	Low	Probe
535.148	10.879	Num	Low	Rest
546.027	3.2	Add	High	Cue
549.227	10.01	Add	High	Encode
559.237	11.293	Add	High	Maintain
570.53	4.581	Add	High	Probe
575.111	10.833	Add	High	Rest
585.944	3.2	Num	Low	Cue
589.144	10.011	Num	Low	Encode
599.155	11.295	Num	Low	Maintain
610.45	3.832	Num	Low	Probe
614.282	10.785	Num	Low	Rest
625.067	3.08	Rot	Low	Cue
628.147	10.058	Rot	Low	Encode
638.205	11.278	Rot	Low	Maintain
649.483	3.099	Rot	Low	Probe
652.582	10	Rot	Low	Rest
