onset	duration	trial_type	load_type	processing_stage
1.113	3.38	Num	High	Cue
4.493	10.01	Num	High	Encode
14.503	11.271	Num	High	Maintain
25.774	6.189	Num	High	Probe
31.963	10.81	Num	High	Rest
42.773	3.454	Num	High	Cue
46.227	10.042	Num	High	Encode
56.269	11.326	Num	High	Maintain
67.595	9.058	Num	High	Probe
76.653	10.821	Num	High	Rest
87.474	3.081	Rot	High	Cue
90.555	10.003	Rot	High	Encode
100.558	11.252	Rot	High	Maintain
111.81	10.01	Rot	High	Probe
121.82	10.823	Rot	High	Rest
132.643	3.673	Add	High	Cue
136.316	10.025	Add	High	Encode
146.341	11.301	Add	High	Maintain
157.642	10.01	Add	High	Probe
167.652	10.824	Add	High	Rest
178.476	3.09	Pos	Low	Cue
181.566	10.025	Pos	Low	Encode
191.591	11.301	Pos	Low	Maintain
202.892	3.808	Pos	Low	Probe
206.7	10.821	Pos	Low	Rest
217.521	3.511	Pos	High	Cue
221.032	10.04	Pos	High	Encode
231.072	11.321	Pos	High	Maintain
242.393	8.264	Pos	High	Probe
250.657	10.819	Pos	High	Rest
261.476	3.5	Rot	High	Cue
264.976	10.003	Rot	High	Encode
274.979	11.284	Rot	High	Maintain
286.263	8.216	Rot	High	Probe
294.479	10.832	Rot	High	Rest
305.311	3.2	Rot	Low	Cue
308.511	10.011	Rot	Low	Encode
318.522	11.322	Rot	Low	Maintain
329.844	2.694	Rot	Low	Probe
332.538	10.812	Rot	Low	Rest
343.35	3.08	Num	Low	Cue
346.43	10.057	Num	Low	Encode
356.487	11.279	Num	Low	Maintain
367.766	1.92	Num	Low	Probe
369.686	10.888	Num	Low	Rest
380.574	3.458	Pos	Low	Cue
384.032	10.058	Pos	Low	Encode
394.09	11.328	Pos	Low	Maintain
405.418	2.912	Pos	Low	Probe
408.33	10.832	Pos	Low	Rest
419.162	3.2	Add	High	Cue
422.362	10.011	Add	High	Encode
432.373	11.32	Add	High	Maintain
443.693	4.329	Add	High	Probe
448.022	10.758	Add	High	Rest
458.78	3.13	Add	Low	Cue
461.91	10.004	Add	Low	Encode
471.914	11.279	Add	Low	Maintain
483.193	2.457	Add	Low	Probe
485.65	10.795	Add	Low	Rest
496.445	3.276	Pos	High	Cue
499.721	10.053	Pos	High	Encode
509.774	11.277	Pos	High	Maintain
521.051	4.456	Pos	High	Probe
525.507	10.84	Pos	High	Rest
536.347	3.32	Add	Low	Cue
539.667	10.041	Add	Low	Encode
549.708	11.322	Add	Low	Maintain
561.03	3.053	Add	Low	Probe
564.083	10.862	Add	Low	Rest
574.945	3.09	Rot	Low	Cue
578.035	10.056	Rot	Low	Encode
588.091	11.278	Rot	Low	Maintain
599.369	3.022	Rot	Low	Probe
602.391	10.804	Rot	Low	Rest
613.195	3.14	Num	Low	Cue
616.335	10.041	Num	Low	Encode
626.376	11.322	Num	Low	Maintain
637.698	2.866	Num	Low	Probe
640.564	10	Num	Low	Rest
