onset	duration	trial_type	load_type	processing_stage
1.09	3.5	Pos	High	Cue
4.59	10.047	Pos	High	Encode
14.637	11.28	Pos	High	Maintain
25.917	2.975	Pos	High	Probe
28.892	10.824	Pos	High	Rest
39.716	3.28	Rot	Low	Cue
42.996	10.01	Rot	Low	Encode
53.006	11.273	Rot	Low	Maintain
64.279	5.097	Rot	Low	Probe
69.376	10.868	Rot	Low	Rest
80.244	3.782	Rot	High	Cue
84.026	10.008	Rot	High	Encode
94.034	11.293	Rot	High	Maintain
105.327	5.542	Rot	High	Probe
110.869	10.826	Rot	High	Rest
121.695	3.301	Pos	High	Cue
124.996	10.037	Pos	High	Encode
135.033	11.328	Pos	High	Maintain
146.361	9.133	Pos	High	Probe
155.494	10.845	Pos	High	Rest
166.339	3.106	Add	High	Cue
169.445	10.011	Add	High	Encode
179.456	11.293	Add	High	Maintain
190.749	3.848	Add	High	Probe
194.597	10.82	Add	High	Rest
205.417	4.85	Rot	High	Cue
210.267	10.03	Rot	High	Encode
220.297	11.302	Rot	High	Maintain
231.599	3.068	Rot	High	Probe
234.667	10.795	Rot	High	Rest
245.462	3.14	Pos	Low	Cue
248.602	10.025	Pos	Low	Encode
258.627	11.303	Pos	Low	Maintain
269.93	3.06	Pos	Low	Probe
272.99	10.812	Pos	Low	Rest
283.802	3.13	Num	Low	Cue
286.932	10.01	Num	Low	Encode
296.942	11.328	Num	Low	Maintain
308.27	4.175	Num	Low	Probe
312.445	10.775	Num	Low	Rest
323.22	3.13	Add	Low	Cue
326.35	10.007	Add	Low	Encode
336.357	11.273	Add	Low	Maintain
347.63	3.065	Add	Low	Probe
350.695	10.852	Add	Low	Rest
361.547	3.09	Pos	Low	Cue
364.637	10.056	Pos	Low	Encode
374.693	11.322	Pos	Low	Maintain
386.015	4.962	Pos	Low	Probe
390.977	10.868	Pos	Low	Rest
401.845	3.12	Num	High	Cue
404.965	10.011	Num	High	Encode
414.976	11.293	Num	High	Maintain
426.269	5.828	Num	High	Probe
432.097	10.836	Num	High	Rest
442.933	3.08	Add	Low	Cue
446.013	10.003	Add	Low	Encode
456.016	11.284	Add	Low	Maintain
467.3	3.163	Add	Low	Probe
470.463	10.888	Add	Low	Rest
481.351	3.35	Rot	Low	Cue
484.701	10.01	Rot	Low	Encode
494.711	11.321	Rot	Low	Maintain
506.032	3.73	Rot	Low	Probe
509.762	10.804	Rot	Low	Rest
520.566	3.14	Num	High	Cue
523.706	10.024	Num	High	Encode
533.73	11.302	Num	High	Maintain
545.032	8.24	Num	High	Probe
553.272	10.801	Num	High	Rest
564.073	3.16	Num	Low	Cue
567.233	10.011	Num	Low	Encode
577.244	11.295	Num	Low	Maintain
588.539	2.974	Num	Low	Probe
591.513	10.803	Num	Low	Rest
602.316	3.471	Add	High	Cue
605.787	10.009	Add	High	Encode
615.796	11.322	Add	High	Maintain
627.118	10.009	Add	High	Probe
637.127	10	Add	High	Rest
