onset	duration	trial_type	load_type	processing_stage
1.121	3.253	Num	Low	Cue
4.374	10.042	Num	Low	Encode
14.416	11.286	Num	Low	Maintain
25.702	3.973	Num	Low	Probe
29.675	10.871	Num	Low	Rest
40.546	3.207	Pos	Low	Cue
43.753	10.01	Pos	Low	Encode
53.763	11.271	Pos	Low	Maintain
65.034	1.79	Pos	Low	Probe
66.824	10.796	Pos	Low	Rest
77.62	3.136	Add	Low	Cue
80.756	10.041	Add	Low	Encode
90.797	11.322	Add	Low	Maintain
102.119	4.161	Add	Low	Probe
106.28	10.81	Add	Low	Rest
117.09	3.784	Num	High	Cue
120.874	10.03	Num	High	Encode
130.904	11.299	Num	High	Maintain
142.203	5.017	Num	High	Probe
147.22	10.821	Num	High	Rest
158.041	3.331	Pos	High	Cue
161.372	10.011	Pos	High	Encode
171.383	11.275	Pos	High	Maintain
182.658	6.234	Pos	High	Probe
188.892	10.824	Pos	High	Rest
199.716	3.916	Pos	High	Cue
203.632	10.032	Pos	High	Encode
213.664	11.293	Pos	High	Maintain
224.957	2.865	Pos	High	Probe
227.822	10.833	Pos	High	Rest
238.655	3.22	Rot	Low	Cue
241.875	10.04	Rot	Low	Encode
251.915	11.293	Rot	Low	Maintain
263.208	3.973	Rot	Low	Probe
267.181	10.807	Rot	Low	Rest
277.988	3.646	Add	High	Cue
281.634	10.032	Add	High	Encode
291.666	11.293	Add	High	Maintain
302.959	3.582	Add	High	Probe
306.541	10.869	Add	High	Rest
317.41	3.35	Pos	Low	Cue
320.76	10.04	Pos	Low	Encode
330.8	11.322	Pos	Low	Maintain
342.122	4.676	Pos	Low	Probe
346.798	10.83	Pos	Low	Rest
357.628	3.286	Add	High	Cue
360.914	10.053	Add	High	Encode
370.967	11.272	Add	High	Maintain
382.239	5.811	Add	High	Probe
388.05	10.779	Add	High	Rest
398.829	3.13	Rot	High	Cue
401.959	10.009	Rot	High	Encode
411.968	11.322	Rot	High	Maintain
423.29	2.22	Rot	High	Probe
425.51	10.786	Rot	High	Rest
436.296	3.16	Num	Low	Cue
439.456	10.003	Num	Low	Encode
449.459	11.287	Num	Low	Maintain
460.746	3.021	Num	Low	Probe
463.767	10.779	Num	Low	Rest
474.546	4.314	Num	High	Cue
478.86	10.007	Num	High	Encode
488.867	11.276	Num	High	Maintain
500.143	5.19	Num	High	Probe
505.333	10.779	Num	High	Rest
516.112	3.436	Rot	High	Cue
519.548	10.007	Rot	High	Encode
529.555	11.321	Rot	High	Maintain
540.876	6.352	Rot	High	Probe
547.228	10.77	Rot	High	Rest
557.998	3.391	Add	Low	Cue
561.389	10.009	Add	Low	Encode
571.398	11.293	Add	Low	Maintain
582.691	3.204	Add	Low	Probe
585.895	10.754	Add	Low	Rest
596.649	3.13	Rot	Low	Cue
599.779	10.01	Rot	Low	Encode
609.789	11.321	Rot	Low	Maintain
621.11	6.898	Rot	Low	Probe
628.008	10	Rot	Low	Rest
