onset	duration	trial_type	load_type	processing_stage
1.092	3.137	Num	Low	Cue
4.229	10.007	Num	Low	Encode
14.236	11.276	Num	Low	Maintain
25.512	4.871	Num	Low	Probe
30.383	10.793	Num	Low	Rest
41.176	3.426	Add	High	Cue
44.602	10.038	Add	High	Encode
54.64	11.325	Add	High	Maintain
65.965	7.877	Add	High	Probe
73.842	10.867	Add	High	Rest
84.709	3.54	Rot	High	Cue
88.249	10.056	Rot	High	Encode
98.305	11.33	Rot	High	Maintain
109.635	10.003	Rot	High	Probe
119.638	10.828	Rot	High	Rest
130.466	4.154	Rot	High	Cue
134.62	10.037	Rot	High	Encode
144.657	11.322	Rot	High	Maintain
155.979	2.11	Rot	High	Probe
158.089	10.805	Rot	High	Rest
168.894	3.321	Num	High	Cue
172.215	10.01	Num	High	Encode
182.225	11.322	Num	High	Maintain
193.547	3.364	Num	High	Probe
196.911	10.752	Num	High	Rest
207.663	3.08	Pos	Low	Cue
210.743	10.004	Pos	Low	Encode
220.747	11.302	Pos	Low	Maintain
232.049	8.122	Pos	Low	Probe
240.171	10.826	Pos	Low	Rest
250.997	3.09	Add	Low	Cue
254.087	10.042	Add	Low	Encode
264.129	11.288	Add	Low	Maintain
275.417	2.523	Add	Low	Probe
277.94	10.87	Add	Low	Rest
288.81	3.291	Add	Low	Cue
292.101	10.041	Add	Low	Encode
302.142	11.293	Add	Low	Maintain
313.435	2.724	Add	Low	Probe
316.159	10.804	Add	Low	Rest
326.963	3.44	Pos	High	Cue
330.403	10.056	Pos	High	Encode
340.459	11.322	Pos	High	Maintain
351.781	9.72	Pos	High	Probe
361.501	10.814	Pos	High	Rest
372.315	3.14	Pos	Low	Cue
375.455	10.025	Pos	Low	Encode
385.48	11.301	Pos	Low	Maintain
396.781	2	Pos	Low	Probe
398.781	10.847	Pos	Low	Rest
409.628	3.161	Num	Low	Cue
412.789	10.025	Num	Low	Encode
422.814	11.302	Num	Low	Maintain
434.116	4.416	Num	Low	Probe
438.532	10.783	Num	Low	Rest
449.315	3.131	Rot	Low	Cue
452.446	10.004	Rot	Low	Encode
462.45	11.289	Rot	Low	Maintain
473.739	5.689	Rot	Low	Probe
479.428	10.856	Rot	Low	Rest
490.284	3.734	Pos	High	Cue
494.018	10.031	Pos	High	Encode
504.049	11.301	Pos	High	Maintain
515.35	3.558	Pos	High	Probe
518.908	10.78	Pos	High	Rest
529.688	3.2	Add	High	Cue
532.888	10.056	Add	High	Encode
542.944	11.273	Add	High	Maintain
554.217	10.011	Add	High	Probe
564.228	10.872	Add	High	Rest
575.1	3.17	Rot	Low	Cue
578.27	10.009	Rot	Low	Encode
588.279	11.272	Rot	Low	Maintain
599.551	8.539	Rot	Low	Probe
608.09	10.795	Rot	Low	Rest
618.885	3.29	Num	High	Cue
622.175	10.04	Num	High	Encode
632.215	11.321	Num	High	Maintain
643.536	10.011	Num	High	Probe
653.547	10	Num	High	Rest
