onset	duration	trial_type	load_type	processing_stage
1.106	3.207	Add	Low	Cue
4.313	10.009	Add	Low	Encode
14.322	11.279	Add	Low	Maintain
25.601	6.524	Add	Low	Probe
32.125	10.694	Add	Low	Rest
42.819	3.199	Add	High	Cue
46.018	10.046	Add	High	Encode
56.064	11.253	Add	High	Maintain
67.317	6.742	Add	High	Probe
74.059	10.837	Add	High	Rest
84.896	3.345	Rot	High	Cue
88.241	10.021	Rot	High	Encode
98.262	11.256	Rot	High	Maintain
109.518	5.16	Rot	High	Probe
114.678	10.8	Rot	High	Rest
125.478	3.174	Add	High	Cue
128.652	10.039	Add	High	Encode
138.691	11.291	Add	High	Maintain
149.982	7.059	Add	High	Probe
157.041	10.786	Add	High	Rest
167.827	3.187	Num	Low	Cue
171.014	10.063	Num	Low	Encode
181.077	11.317	Num	Low	Maintain
192.394	5.2	Num	Low	Probe
197.594	10.836	Num	Low	Rest
208.43	3.273	Num	High	Cue
211.703	10.027	Num	High	Encode
221.73	11.256	Num	High	Maintain
232.986	4.068	Num	High	Probe
237.054	10.728	Num	High	Rest
247.782	3.439	Pos	Low	Cue
251.221	10.049	Pos	Low	Encode
261.27	11.335	Pos	Low	Maintain
272.605	6.243	Pos	Low	Probe
278.848	10.791	Pos	Low	Rest
289.639	3.422	Num	High	Cue
293.061	10.032	Num	High	Encode
303.093	11.293	Num	High	Maintain
314.386	10.009	Num	High	Probe
324.395	10.771	Num	High	Rest
335.166	3.14	Rot	Low	Cue
338.306	10.025	Rot	Low	Encode
348.331	11.303	Rot	Low	Maintain
359.634	10.012	Rot	Low	Probe
369.646	10.778	Rot	Low	Rest
380.424	3.478	Pos	High	Cue
383.902	10.009	Pos	High	Encode
393.911	11.274	Pos	High	Maintain
405.185	3.334	Pos	High	Probe
408.519	10.837	Pos	High	Rest
419.356	3.3	Pos	Low	Cue
422.656	10.025	Pos	Low	Encode
432.681	11.303	Pos	Low	Maintain
443.984	3.418	Pos	Low	Probe
447.402	10.833	Pos	Low	Rest
458.235	3.09	Rot	High	Cue
461.325	10.024	Rot	High	Encode
471.349	11.302	Rot	High	Maintain
482.651	4.353	Rot	High	Probe
487.004	10.846	Rot	High	Rest
497.85	3.132	Pos	High	Cue
500.982	10.009	Pos	High	Encode
510.991	11.277	Pos	High	Maintain
522.268	4.516	Pos	High	Probe
526.784	10.868	Pos	High	Rest
537.652	3.34	Num	Low	Cue
540.992	10.028	Num	Low	Encode
551.02	11.306	Num	Low	Maintain
562.326	10.034	Num	Low	Probe
572.36	10.838	Num	Low	Rest
583.198	3.211	Add	Low	Cue
586.409	10.026	Add	Low	Encode
596.435	11.301	Add	Low	Maintain
607.736	2.562	Add	Low	Probe
610.298	10.811	Add	Low	Rest
621.109	3.36	Rot	Low	Cue
624.469	10.005	Rot	Low	Encode
634.474	11.284	Rot	Low	Maintain
645.758	3.069	Rot	Low	Probe
648.827	10	Rot	Low	Rest
