onset	duration	trial_type	load_type	processing_stage
1.101	3.25	Rot	High	Cue
4.351	10.05	Rot	High	Encode
14.401	11.253	Rot	High	Maintain
25.654	2.853	Rot	High	Probe
28.507	10.511	Rot	High	Rest
39.018	3.167	Num	Low	Cue
42.185	10.05	Num	Low	Encode
52.235	11.251	Num	Low	Maintain
63.486	2.021	Num	Low	Probe
65.507	10.511	Num	Low	Rest
76.018	3.267	Num	High	Cue
79.285	10.033	Num	High	Encode
89.318	11.251	Num	High	Maintain
100.569	3.066	Num	High	Probe
103.635	10.516	Num	High	Rest
114.151	3.25	Pos	High	Cue
117.401	10.05	Pos	High	Encode
127.451	11.251	Pos	High	Maintain
138.702	2.573	Pos	High	Probe
141.275	10.51	Pos	High	Rest
151.785	3.366	Add	High	Cue
155.151	10.034	Add	High	Encode
165.185	11.251	Add	High	Maintain
176.436	5.574	Add	High	Probe
182.01	10.508	Add	High	Rest
192.518	3.133	Pos	Low	Cue
195.651	10.034	Pos	Low	Encode
205.685	11.251	Pos	Low	Maintain
216.936	2.803	Pos	Low	Probe
219.739	10.529	Pos	Low	Rest
230.268	3.217	Rot	Low	Cue
233.485	10.033	Rot	Low	Encode
243.518	11.251	Rot	Low	Maintain
254.769	3.026	Rot	Low	Probe
257.795	10.556	Rot	Low	Rest
268.351	3.284	Rot	High	Cue
271.635	10.05	Rot	High	Encode
281.685	11.251	Rot	High	Maintain
292.936	2.619	Rot	High	Probe
295.555	10.546	Rot	High	Rest
306.101	3.117	Add	Low	Cue
309.218	10.05	Add	Low	Encode
319.268	11.251	Add	Low	Maintain
330.519	1.9	Add	Low	Probe
332.419	10.516	Add	Low	Rest
342.935	3.316	Add	Low	Cue
346.251	10.034	Add	Low	Encode
356.285	11.251	Add	Low	Maintain
367.536	1.763	Add	Low	Probe
369.299	10.536	Add	Low	Rest
379.835	3.166	Num	Low	Cue
383.001	10.034	Num	Low	Encode
393.035	11.251	Num	Low	Maintain
404.286	2.157	Num	Low	Probe
406.443	10.508	Num	Low	Rest
416.951	3.334	Num	High	Cue
420.285	10.033	Num	High	Encode
430.318	11.251	Num	High	Maintain
441.569	7.634	Num	High	Probe
449.203	10.532	Num	High	Rest
459.735	3.466	Pos	High	Cue
463.201	10.05	Pos	High	Encode
473.251	11.251	Pos	High	Maintain
484.502	4.533	Pos	High	Probe
489.035	10.5	Pos	High	Rest
499.535	3.216	Rot	Low	Cue
502.751	10.034	Rot	Low	Encode
512.785	11.251	Rot	Low	Maintain
524.036	2.319	Rot	Low	Probe
526.355	10.513	Rot	Low	Rest
536.868	3.717	Pos	Low	Cue
540.585	10.033	Pos	Low	Encode
550.618	11.251	Pos	Low	Maintain
561.869	3.117	Pos	Low	Probe
564.986	10.515	Pos	Low	Rest
575.501	3.434	Add	High	Cue
578.935	10.05	Add	High	Encode
588.985	11.251	Add	High	Maintain
600.236	6.143	Add	High	Probe
606.379	10	Add	High	Rest
