onset	duration	trial_type	load_type	processing_stage
1.075	3.134	Num	Low	Cue
4.209	10.033	Num	Low	Encode
14.242	11.252	Num	Low	Maintain
25.494	2.701	Num	Low	Probe
28.195	10.514	Num	Low	Rest
38.709	4.083	Add	High	Cue
42.792	10.05	Add	High	Encode
52.842	11.251	Add	High	Maintain
64.093	9.502	Add	High	Probe
73.595	10.53	Add	High	Rest
84.125	3.384	Pos	High	Cue
87.509	10.033	Pos	High	Encode
97.542	11.252	Pos	High	Maintain
108.794	3.6	Pos	High	Probe
112.394	10.565	Pos	High	Rest
122.959	3.083	Add	Low	Cue
126.042	10.05	Add	Low	Encode
136.092	11.251	Add	Low	Maintain
147.343	2.628	Add	Low	Probe
149.971	10.538	Add	Low	Rest
160.509	3.283	Rot	Low	Cue
163.792	10.05	Rot	Low	Encode
173.842	11.251	Rot	Low	Maintain
185.093	3.646	Rot	Low	Probe
188.739	10.52	Rot	Low	Rest
199.259	3.733	Add	High	Cue
202.992	10.05	Add	High	Encode
213.042	11.251	Add	High	Maintain
224.293	5.334	Add	High	Probe
229.627	10.532	Add	High	Rest
240.159	3.216	Pos	Low	Cue
243.375	10.034	Pos	Low	Encode
253.409	11.251	Pos	Low	Maintain
264.66	2.59	Pos	Low	Probe
267.25	10.542	Pos	Low	Rest
277.792	3.167	Rot	High	Cue
280.959	10.033	Rot	High	Encode
290.992	11.251	Rot	High	Maintain
302.243	4.224	Rot	High	Probe
306.467	10.525	Rot	High	Rest
316.992	3.083	Num	Low	Cue
320.075	10.05	Num	Low	Encode
330.125	11.251	Num	Low	Maintain
341.376	2.547	Num	Low	Probe
343.923	10.536	Num	Low	Rest
354.459	3.083	Rot	Low	Cue
357.542	10.033	Rot	Low	Encode
367.575	11.251	Rot	Low	Maintain
378.826	2.129	Rot	Low	Probe
380.955	10.504	Rot	Low	Rest
391.459	3.083	Num	High	Cue
394.542	10.033	Num	High	Encode
404.575	11.251	Num	High	Maintain
415.826	8.664	Num	High	Probe
424.49	10.502	Num	High	Rest
434.992	3.317	Pos	High	Cue
438.309	10.05	Pos	High	Encode
448.359	11.251	Pos	High	Maintain
459.61	3.977	Pos	High	Probe
463.587	10.522	Pos	High	Rest
474.109	3.25	Rot	High	Cue
477.359	10.033	Rot	High	Encode
487.392	11.252	Rot	High	Maintain
498.644	4.999	Rot	High	Probe
503.643	10.549	Rot	High	Rest
514.192	4.267	Num	High	Cue
518.459	10.033	Num	High	Encode
528.492	11.251	Num	High	Maintain
539.743	6.451	Num	High	Probe
546.194	10.515	Num	High	Rest
556.709	3.116	Pos	Low	Cue
559.825	10.05	Pos	Low	Encode
569.875	11.251	Pos	Low	Maintain
581.126	2.012	Pos	Low	Probe
583.138	10.521	Pos	Low	Rest
593.659	3.083	Add	Low	Cue
596.742	10.05	Add	Low	Encode
606.792	11.251	Add	Low	Maintain
618.043	2.063	Add	Low	Probe
620.106	10	Add	Low	Rest
