onset	duration	trial_type	load_type	processing_stage
1.106	3.162	Pos	Low	Cue
4.268	10.025	Pos	Low	Encode
14.293	11.253	Pos	Low	Maintain
25.546	3.802	Pos	Low	Probe
29.348	10.751	Pos	Low	Rest
40.099	3.086	Num	Low	Cue
43.185	10.026	Num	Low	Encode
53.211	11.303	Num	Low	Maintain
64.514	2.74	Num	Low	Probe
67.254	10.798	Num	Low	Rest
78.052	3	Rot	Low	Cue
81.052	10.056	Rot	Low	Encode
91.108	11.325	Rot	Low	Maintain
102.433	1.77	Rot	Low	Probe
104.203	10.849	Rot	Low	Rest
115.052	3.081	Pos	Low	Cue
118.133	10.057	Pos	Low	Encode
128.19	11.319	Pos	Low	Maintain
139.509	4.31	Pos	Low	Probe
143.819	10.819	Pos	Low	Rest
154.638	3.072	Add	Low	Cue
157.71	10.004	Add	Low	Encode
167.714	11.298	Add	Low	Maintain
179.012	3.92	Add	Low	Probe
182.932	10.759	Add	Low	Rest
193.691	3.824	Pos	High	Cue
197.515	10	Pos	High	Encode
207.515	11.279	Pos	High	Maintain
218.794	4.684	Pos	High	Probe
223.478	10.819	Pos	High	Rest
234.297	3.252	Pos	High	Cue
237.549	10.008	Pos	High	Encode
247.557	11.271	Pos	High	Maintain
258.828	4.067	Pos	High	Probe
262.895	10.778	Pos	High	Rest
273.673	3.121	Add	High	Cue
276.794	10.004	Add	High	Encode
286.798	11.278	Add	High	Maintain
298.076	2.18	Add	High	Probe
300.256	10.8	Add	High	Rest
311.056	3.161	Num	High	Cue
314.217	10.006	Num	High	Encode
324.223	11.32	Num	High	Maintain
335.543	4.029	Num	High	Probe
339.572	10.814	Num	High	Rest
350.386	3.111	Num	High	Cue
353.497	10.011	Num	High	Encode
363.508	11.32	Num	High	Maintain
374.828	5.096	Num	High	Probe
379.924	10.87	Num	High	Rest
390.794	3.121	Rot	High	Cue
393.915	10.058	Rot	High	Encode
403.973	11.279	Rot	High	Maintain
415.252	4.16	Rot	High	Probe
419.412	10.75	Rot	High	Rest
430.162	3.001	Num	Low	Cue
433.163	10.011	Num	Low	Encode
443.174	11.319	Num	Low	Maintain
454.493	3.187	Num	Low	Probe
457.68	10.823	Num	Low	Rest
468.503	3.793	Add	High	Cue
472.296	10.011	Add	High	Encode
482.307	11.271	Add	High	Maintain
493.578	3.927	Add	High	Probe
497.505	10.835	Add	High	Rest
508.34	3.121	Add	Low	Cue
511.461	10.004	Add	Low	Encode
521.465	11.279	Add	Low	Maintain
532.744	2.765	Add	Low	Probe
535.509	10.798	Add	Low	Rest
546.307	3.071	Rot	Low	Cue
549.378	10.004	Rot	Low	Encode
559.382	11.278	Rot	Low	Maintain
570.66	2.14	Rot	Low	Probe
572.8	10.788	Rot	Low	Rest
583.588	3.211	Rot	High	Cue
586.799	10.006	Rot	High	Encode
596.805	11.28	Rot	High	Maintain
608.085	3.724	Rot	High	Probe
611.809	10	Rot	High	Rest
