onset	duration	trial_type	load_type	processing_stage
1.076	3.128	Add	High	Cue
4.204	10.006	Add	High	Encode
14.21	11.278	Add	High	Maintain
25.488	3.022	Add	High	Probe
28.51	10.816	Add	High	Rest
39.326	3.273	Add	High	Cue
42.599	10.011	Add	High	Encode
52.61	11.278	Add	High	Maintain
63.888	3.896	Add	High	Probe
67.784	10.855	Add	High	Rest
78.639	3.392	Pos	High	Cue
82.031	10.005	Pos	High	Encode
92.036	11.278	Pos	High	Maintain
103.314	2.26	Pos	High	Probe
105.574	10.884	Pos	High	Rest
116.458	3.476	Rot	High	Cue
119.934	10.007	Rot	High	Encode
129.941	11.273	Rot	High	Maintain
141.214	2.984	Rot	High	Probe
144.198	10.777	Rot	High	Rest
154.975	3.162	Add	Low	Cue
158.137	10.057	Add	Low	Encode
168.194	11.273	Add	Low	Maintain
179.467	2.757	Add	Low	Probe
182.224	10.835	Add	Low	Rest
193.059	3.336	Num	Low	Cue
196.395	10.033	Num	Low	Encode
206.428	11.32	Num	Low	Maintain
217.748	2.516	Num	Low	Probe
220.264	10.826	Num	Low	Rest
231.09	3.161	Pos	Low	Cue
234.251	10.058	Pos	Low	Encode
244.309	11.28	Pos	Low	Maintain
255.589	2.14	Pos	Low	Probe
257.729	10.78	Pos	Low	Rest
268.509	3.161	Pos	High	Cue
271.67	10.058	Pos	High	Encode
281.728	11.325	Pos	High	Maintain
293.053	3.626	Pos	High	Probe
296.679	10.829	Pos	High	Rest
307.508	3.161	Num	Low	Cue
310.669	10.057	Num	Low	Encode
320.726	11.272	Num	Low	Maintain
331.998	2.12	Num	Low	Probe
334.118	10.807	Num	Low	Rest
344.925	3.211	Num	High	Cue
348.136	10.007	Num	High	Encode
358.143	11.32	Num	High	Maintain
369.463	4.902	Num	High	Probe
374.365	10.806	Num	High	Rest
385.171	3.181	Num	High	Cue
388.352	10.006	Num	High	Encode
398.358	11.28	Num	High	Maintain
409.638	2.601	Num	High	Probe
412.239	10.819	Num	High	Rest
423.058	3.131	Rot	Low	Cue
426.189	10.026	Rot	Low	Encode
436.215	11.302	Rot	Low	Maintain
447.517	2.865	Rot	Low	Probe
450.382	10.843	Rot	Low	Rest
461.225	3.294	Pos	Low	Cue
464.519	10.008	Pos	Low	Encode
474.527	11.271	Pos	Low	Maintain
485.798	2.423	Pos	Low	Probe
488.221	10.835	Pos	Low	Rest
499.056	5.254	Rot	High	Cue
504.31	10.051	Rot	High	Encode
514.361	11.324	Rot	High	Maintain
525.685	4.203	Rot	High	Probe
529.888	10.835	Rot	High	Rest
540.723	3.081	Add	Low	Cue
543.804	10.042	Add	Low	Encode
553.846	11.29	Add	Low	Maintain
565.136	2.726	Add	Low	Probe
567.862	10.829	Add	Low	Rest
578.691	3.031	Rot	Low	Cue
581.722	10.042	Rot	Low	Encode
591.764	11.289	Rot	Low	Maintain
603.053	3.63	Rot	Low	Probe
606.683	10	Rot	Low	Rest
