onset	duration	trial_type	load_type	processing_stage
1.07	3.083	Rot	Low	Cue
4.153	10.05	Rot	Low	Encode
14.203	11.252	Rot	Low	Maintain
25.455	2.859	Rot	Low	Probe
28.314	10.506	Rot	Low	Rest
38.82	3.083	Num	Low	Cue
41.903	10.05	Num	Low	Encode
51.953	11.251	Num	Low	Maintain
63.204	3.374	Num	Low	Probe
66.578	10.542	Num	Low	Rest
77.12	3.167	Pos	Low	Cue
80.287	10.033	Pos	Low	Encode
90.32	11.251	Pos	Low	Maintain
101.571	8.943	Pos	Low	Probe
110.514	10.523	Pos	Low	Rest
121.037	3.2	Add	Low	Cue
124.237	10.05	Add	Low	Encode
134.287	11.251	Add	Low	Maintain
145.538	2.68	Add	Low	Probe
148.218	10.519	Add	Low	Rest
158.737	3.55	Add	High	Cue
162.287	10.033	Add	High	Encode
172.32	11.251	Add	High	Maintain
183.571	4.143	Add	High	Probe
187.714	10.523	Add	High	Rest
198.237	3.216	Rot	High	Cue
201.453	10.034	Rot	High	Encode
211.487	11.251	Rot	High	Maintain
222.738	4.008	Rot	High	Probe
226.746	10.541	Rot	High	Rest
237.287	3.4	Pos	High	Cue
240.687	10.033	Pos	High	Encode
250.72	11.251	Pos	High	Maintain
261.971	6.327	Pos	High	Probe
268.298	10.505	Pos	High	Rest
278.803	3.168	Num	Low	Cue
281.971	10.049	Num	Low	Encode
292.02	11.252	Num	Low	Maintain
303.272	6.106	Num	Low	Probe
309.378	10.509	Num	Low	Rest
319.887	3.816	Rot	Low	Cue
323.703	10.034	Rot	Low	Encode
333.737	11.251	Rot	Low	Maintain
344.988	7.878	Rot	Low	Probe
352.866	10.504	Rot	Low	Rest
363.37	3.867	Num	High	Cue
367.237	10.033	Num	High	Encode
377.27	11.251	Num	High	Maintain
388.521	4.625	Num	High	Probe
393.146	10.507	Num	High	Rest
403.653	3.167	Pos	Low	Cue
406.82	10.033	Pos	Low	Encode
416.853	11.251	Pos	Low	Maintain
428.104	2.154	Pos	Low	Probe
430.258	10.512	Pos	Low	Rest
440.77	3.467	Add	High	Cue
444.237	10.033	Add	High	Encode
454.27	11.251	Add	High	Maintain
465.521	5.688	Add	High	Probe
471.209	10.528	Add	High	Rest
481.737	4.116	Pos	High	Cue
485.853	10.034	Pos	High	Encode
495.887	11.251	Pos	High	Maintain
507.138	2.944	Pos	High	Probe
510.082	10.521	Pos	High	Rest
520.603	3.117	Rot	High	Cue
523.72	10.05	Rot	High	Encode
533.77	11.251	Rot	High	Maintain
545.021	5.989	Rot	High	Probe
551.01	10.51	Rot	High	Rest
561.52	3.2	Num	High	Cue
564.72	10.05	Num	High	Encode
574.77	11.251	Num	High	Maintain
586.021	10.032	Num	High	Probe
596.053	10.55	Num	High	Rest
606.603	3.117	Add	Low	Cue
609.72	10.05	Add	Low	Encode
619.77	11.251	Add	Low	Maintain
631.021	2.902	Add	Low	Probe
633.923	10	Add	Low	Rest
