onset	duration	trial_type	load_type	processing_stage
1.108	3.16	Pos	Low	Cue
4.268	10.036	Pos	Low	Encode
14.304	11.298	Pos	Low	Maintain
25.602	2.422	Pos	Low	Probe
28.024	10.876	Pos	Low	Rest
38.9	3.854	Add	High	Cue
42.754	10.033	Add	High	Encode
52.787	11.302	Add	High	Maintain
64.089	6.366	Add	High	Probe
70.455	10.832	Add	High	Rest
81.287	3.34	Num	High	Cue
84.627	10.057	Num	High	Encode
94.684	11.271	Num	High	Maintain
105.955	4.255	Num	High	Probe
110.21	10.829	Num	High	Rest
121.039	3.09	Num	Low	Cue
124.129	10.042	Num	Low	Encode
134.171	11.288	Num	Low	Maintain
145.459	2.28	Num	Low	Probe
147.739	10.851	Num	Low	Rest
158.59	3.09	Rot	Low	Cue
161.68	10.025	Rot	Low	Encode
171.705	11.306	Rot	Low	Maintain
183.011	3.239	Rot	Low	Probe
186.25	10.879	Rot	Low	Rest
197.129	3.23	Add	Low	Cue
200.359	10.009	Add	Low	Encode
210.368	11.278	Add	Low	Maintain
221.646	3.613	Add	Low	Probe
225.259	10.763	Add	Low	Rest
236.022	3.27	Add	Low	Cue
239.292	10.01	Add	Low	Encode
249.302	11.272	Add	Low	Maintain
260.574	2.366	Add	Low	Probe
262.94	10.773	Add	Low	Rest
273.713	3.26	Rot	Low	Cue
276.973	10.007	Rot	Low	Encode
286.98	11.296	Rot	Low	Maintain
298.276	4.097	Rot	Low	Probe
302.373	10.852	Rot	Low	Rest
313.225	3.14	Num	High	Cue
316.365	10.039	Num	High	Encode
326.404	11.32	Num	High	Maintain
337.724	3.486	Num	High	Probe
341.21	10.821	Num	High	Rest
352.031	3.75	Rot	High	Cue
355.781	10.04	Rot	High	Encode
365.821	11.322	Rot	High	Maintain
377.143	4.582	Rot	High	Probe
381.725	10.833	Rot	High	Rest
392.558	3.64	Add	High	Cue
396.198	10.041	Add	High	Encode
406.239	11.321	Add	High	Maintain
417.56	3.553	Add	High	Probe
421.113	10.868	Add	High	Rest
431.981	3.26	Pos	Low	Cue
435.241	10.004	Pos	Low	Encode
445.245	11.28	Pos	Low	Maintain
456.525	4.731	Pos	Low	Probe
461.256	10.904	Pos	Low	Rest
472.16	3.677	Pos	High	Cue
475.837	10.051	Pos	High	Encode
485.888	11.329	Pos	High	Maintain
497.217	6.093	Pos	High	Probe
503.31	10.817	Pos	High	Rest
514.127	3.521	Num	Low	Cue
517.648	10.01	Num	Low	Encode
527.658	11.322	Num	Low	Maintain
538.98	1.99	Num	Low	Probe
540.97	10.791	Num	Low	Rest
551.761	6.554	Pos	High	Cue
558.315	10.031	Pos	High	Encode
568.346	11.301	Pos	High	Maintain
579.647	2.912	Pos	High	Probe
582.559	10.837	Pos	High	Rest
593.396	3.351	Rot	High	Cue
596.747	10.01	Rot	High	Encode
606.757	11.293	Rot	High	Maintain
618.05	5.751	Rot	High	Probe
623.801	10	Rot	High	Rest
