onset	duration	trial_type	load_type	processing_stage
1.125	3.2	Rot	Low	Cue
4.325	10.057	Rot	Low	Encode
14.382	11.328	Rot	Low	Maintain
25.71	3.941	Rot	Low	Probe
29.651	10.848	Rot	Low	Rest
40.499	3.207	Num	Low	Cue
43.706	10.011	Num	Low	Encode
53.717	11.276	Num	Low	Maintain
64.993	3.598	Num	Low	Probe
68.591	10.813	Num	Low	Rest
79.404	3.22	Pos	High	Cue
82.624	10.01	Pos	High	Encode
92.634	11.271	Pos	High	Maintain
103.905	5.082	Pos	High	Probe
108.987	10.885	Pos	High	Rest
119.872	3.09	Pos	Low	Cue
122.962	10.025	Pos	Low	Encode
132.987	11.303	Pos	Low	Maintain
144.29	3.527	Pos	Low	Probe
147.817	10.81	Pos	Low	Rest
158.627	3.559	Num	High	Cue
162.186	10.048	Num	High	Encode
172.234	11.279	Num	High	Maintain
183.513	5.798	Num	High	Probe
189.311	10.78	Num	High	Rest
200.091	3.29	Add	Low	Cue
203.381	10.025	Add	Low	Encode
213.406	11.303	Add	Low	Maintain
224.709	3.551	Add	Low	Probe
228.26	10.814	Add	Low	Rest
239.074	3.14	Num	Low	Cue
242.214	10.025	Num	Low	Encode
252.239	11.303	Num	Low	Maintain
263.542	3.654	Num	Low	Probe
267.196	10.847	Num	Low	Rest
278.043	3.09	Add	Low	Cue
281.133	10.025	Add	Low	Encode
291.158	11.303	Add	Low	Maintain
302.461	4.955	Add	Low	Probe
307.416	10.826	Add	Low	Rest
318.242	3.17	Rot	Low	Cue
321.412	10.011	Rot	Low	Encode
331.423	11.325	Rot	Low	Maintain
342.748	3.116	Rot	Low	Probe
345.864	10.775	Rot	Low	Rest
356.639	3.112	Pos	Low	Cue
359.751	10.042	Pos	Low	Encode
369.793	11.288	Pos	Low	Maintain
381.081	2.944	Pos	Low	Probe
384.025	10.804	Pos	Low	Rest
394.829	3.504	Rot	High	Cue
398.333	10.031	Rot	High	Encode
408.364	11.298	Rot	High	Maintain
419.662	7.723	Rot	High	Probe
427.385	10.811	Rot	High	Rest
438.196	3.37	Pos	High	Cue
441.566	10.009	Pos	High	Encode
451.575	11.272	Pos	High	Maintain
462.847	9.652	Pos	High	Probe
472.499	10.82	Pos	High	Rest
483.319	3.16	Num	High	Cue
486.479	10.003	Num	High	Encode
496.482	11.289	Num	High	Maintain
507.771	10.044	Num	High	Probe
517.815	10.947	Num	High	Rest
528.762	3.09	Add	High	Cue
531.852	10.057	Add	High	Encode
541.909	11.279	Add	High	Maintain
553.188	2.851	Add	High	Probe
556.039	10.81	Add	High	Rest
566.849	3.396	Rot	High	Cue
570.245	10.032	Rot	High	Encode
580.277	11.293	Rot	High	Maintain
591.57	3.005	Rot	High	Probe
594.575	10.776	Rot	High	Rest
605.351	3.701	Add	High	Cue
609.052	10.01	Add	High	Encode
619.062	11.272	Add	High	Maintain
630.334	4.644	Add	High	Probe
634.978	10	Add	High	Rest
