onset	duration	trial_type	load_type	processing_stage
1.089	3.247	Rot	Low	Cue
4.336	10.057	Rot	Low	Encode
14.393	11.279	Rot	Low	Maintain
25.672	6.298	Rot	Low	Probe
31.97	10.781	Rot	Low	Rest
42.751	3.217	Pos	Low	Cue
45.968	10.01	Pos	Low	Encode
55.978	11.273	Pos	Low	Maintain
67.251	2.647	Pos	Low	Probe
69.898	10.852	Pos	Low	Rest
80.75	3.17	Add	Low	Cue
83.92	10.011	Add	Low	Encode
93.931	11.321	Add	Low	Maintain
105.252	3.35	Add	Low	Probe
108.602	10.824	Add	Low	Rest
119.426	3.329	Add	High	Cue
122.755	10.032	Add	High	Encode
132.787	11.302	Add	High	Maintain
144.089	4.175	Add	High	Probe
148.264	10.774	Add	High	Rest
159.038	3.08	Add	Low	Cue
162.118	10.007	Add	Low	Encode
172.125	11.298	Add	Low	Maintain
183.423	3.817	Add	Low	Probe
187.24	10.798	Add	Low	Rest
198.038	3.394	Rot	Low	Cue
201.432	10.001	Rot	Low	Encode
211.433	11.272	Rot	Low	Maintain
222.705	6.017	Rot	Low	Probe
228.722	10.863	Rot	Low	Rest
239.585	3.09	Num	Low	Cue
242.675	10.01	Num	Low	Encode
252.685	11.321	Num	Low	Maintain
264.006	7.545	Num	Low	Probe
271.551	10.823	Num	Low	Rest
282.374	3.171	Pos	Low	Cue
285.545	10.042	Pos	Low	Encode
295.587	11.286	Pos	Low	Maintain
306.873	3.552	Pos	Low	Probe
310.425	10.833	Pos	Low	Rest
321.258	3.501	Rot	High	Cue
324.759	10.011	Rot	High	Encode
334.77	11.322	Rot	High	Maintain
346.092	5.282	Rot	High	Probe
351.374	10.833	Rot	High	Rest
362.207	3.14	Num	Low	Cue
365.347	10.025	Num	Low	Encode
375.372	11.303	Num	Low	Maintain
386.675	2.12	Num	Low	Probe
388.795	10.829	Num	Low	Rest
399.624	3.17	Rot	High	Cue
402.794	10.01	Rot	High	Encode
412.804	11.322	Rot	High	Maintain
424.126	4.16	Rot	High	Probe
428.286	10.811	Rot	High	Rest
439.097	4	Num	High	Cue
443.097	10.041	Num	High	Encode
453.138	11.293	Num	High	Maintain
464.431	8.746	Num	High	Probe
473.177	10.836	Num	High	Rest
484.013	3.52	Pos	High	Cue
487.533	10.025	Pos	High	Encode
497.558	11.303	Pos	High	Maintain
508.861	8.942	Pos	High	Probe
517.803	10.812	Pos	High	Rest
528.615	3.08	Pos	High	Cue
531.695	10.01	Pos	High	Encode
541.705	11.278	Pos	High	Maintain
552.983	5.689	Pos	High	Probe
558.672	10.778	Pos	High	Rest
569.45	3.16	Add	High	Cue
572.61	10.003	Add	High	Encode
582.613	11.289	Add	High	Maintain
593.902	5.891	Add	High	Probe
599.793	10.851	Add	High	Rest
610.644	3.474	Num	High	Cue
614.118	10.031	Num	High	Encode
624.149	11.33	Num	High	Maintain
635.479	8.416	Num	High	Probe
643.895	10	Num	High	Rest
