onset	duration	trial_type	load_type	processing_stage
1.136	3.592	Rot	Low	Cue
4.728	10.026	Rot	Low	Encode
14.754	11.257	Rot	Low	Maintain
26.011	3.069	Rot	Low	Probe
29.08	10.772	Rot	Low	Rest
39.852	3.426	Num	High	Cue
43.278	10.041	Num	High	Encode
53.319	11.325	Num	High	Maintain
64.644	6.75	Num	High	Probe
71.394	10.829	Num	High	Rest
82.223	3.49	Rot	High	Cue
85.713	10.041	Rot	High	Encode
95.754	11.321	Rot	High	Maintain
107.075	5.16	Rot	High	Probe
112.235	10.758	Rot	High	Rest
122.993	3.14	Add	Low	Cue
126.133	10.025	Add	Low	Encode
136.158	11.301	Add	Low	Maintain
147.459	2.34	Add	Low	Probe
149.799	10.866	Add	Low	Rest
160.665	3.35	Rot	High	Cue
164.015	10.04	Rot	High	Encode
174.055	11.325	Rot	High	Maintain
185.38	4.503	Rot	High	Probe
189.883	10.826	Rot	High	Rest
200.709	3.42	Pos	Low	Cue
204.129	10.01	Pos	Low	Encode
214.139	11.271	Pos	Low	Maintain
225.41	3.178	Pos	Low	Probe
228.588	10.824	Pos	Low	Rest
239.412	3.132	Add	High	Cue
242.544	10.034	Add	High	Encode
252.578	11.301	Add	High	Maintain
263.879	4.597	Add	High	Probe
268.476	10.782	Add	High	Rest
279.258	3.121	Num	Low	Cue
282.379	10.032	Num	Low	Encode
292.411	11.301	Num	Low	Maintain
303.712	3.34	Num	Low	Probe
307.052	10.839	Num	Low	Rest
317.891	3.111	Num	Low	Cue
321.002	10.042	Num	Low	Encode
331.044	11.288	Num	Low	Maintain
342.332	3.49	Num	Low	Probe
345.822	10.843	Num	Low	Rest
356.665	3.131	Add	Low	Cue
359.796	10.003	Add	Low	Encode
369.799	11.288	Add	Low	Maintain
381.087	3.006	Add	Low	Probe
384.093	10.869	Add	Low	Rest
394.962	3.17	Pos	Low	Cue
398.132	10.009	Pos	Low	Encode
408.141	11.28	Pos	Low	Maintain
419.421	1.53	Pos	Low	Probe
420.951	10.798	Pos	Low	Rest
431.749	3.09	Pos	High	Cue
434.839	10.044	Pos	High	Encode
444.883	11.288	Pos	High	Maintain
456.171	3.446	Pos	High	Probe
459.617	10.798	Pos	High	Rest
470.415	4.003	Pos	High	Cue
474.418	10.011	Pos	High	Encode
484.429	11.271	Pos	High	Maintain
495.7	5.674	Pos	High	Probe
501.374	10.798	Pos	High	Rest
512.172	3.514	Add	High	Cue
515.686	10.01	Add	High	Encode
525.696	11.272	Add	High	Maintain
536.968	6.704	Add	High	Probe
543.672	10.794	Add	High	Rest
554.466	3.14	Rot	Low	Cue
557.606	10.041	Rot	Low	Encode
567.647	11.322	Rot	Low	Maintain
578.969	4.738	Rot	Low	Probe
583.707	10.823	Rot	Low	Rest
594.53	3.511	Num	High	Cue
598.041	10.041	Num	High	Encode
608.082	11.322	Num	High	Maintain
619.404	5.315	Num	High	Probe
624.719	10	Num	High	Rest
