onset	duration	trial_type	load_type	processing_stage
1.127	3.243	Num	High	Cue
4.37	10.009	Num	High	Encode
14.379	11.272	Num	High	Maintain
25.651	3.662	Num	High	Probe
29.313	10.728	Num	High	Rest
40.041	3.963	Add	High	Cue
44.004	10.032	Add	High	Encode
54.036	11.301	Add	High	Maintain
65.337	8.122	Add	High	Probe
73.459	10.826	Add	High	Rest
84.285	3.22	Rot	Low	Cue
87.505	10.007	Rot	Low	Encode
97.512	11.273	Rot	Low	Maintain
108.785	5.015	Rot	Low	Probe
113.8	10.819	Rot	Low	Rest
124.619	3.301	Num	Low	Cue
127.92	10.011	Num	Low	Encode
137.931	11.272	Num	Low	Maintain
149.203	3.131	Num	Low	Probe
152.334	10.837	Num	Low	Rest
163.171	3.6	Rot	High	Cue
166.771	10.01	Rot	High	Encode
176.781	11.273	Rot	High	Maintain
188.054	4.207	Rot	High	Probe
192.261	10.792	Rot	High	Rest
203.053	3.131	Add	Low	Cue
206.184	10.004	Add	Low	Encode
216.188	11.289	Add	Low	Maintain
227.477	2.476	Add	Low	Probe
229.953	10.775	Add	Low	Rest
240.728	3.16	Num	Low	Cue
243.888	10.011	Num	Low	Encode
253.899	11.293	Num	Low	Maintain
265.192	2.362	Num	Low	Probe
267.554	10.833	Num	Low	Rest
278.387	4.643	Add	High	Cue
283.03	10.006	Add	High	Encode
293.036	11.322	Add	High	Maintain
304.358	2.896	Add	High	Probe
307.254	10.853	Add	High	Rest
318.107	3.17	Pos	High	Cue
321.277	10.009	Pos	High	Encode
331.286	11.322	Pos	High	Maintain
342.608	2.506	Pos	High	Probe
345.114	10.839	Pos	High	Rest
355.953	3.152	Rot	High	Cue
359.105	10.002	Rot	High	Encode
369.107	11.289	Rot	High	Maintain
380.396	4.097	Rot	High	Probe
384.493	10.814	Rot	High	Rest
395.307	3.22	Pos	Low	Cue
398.527	10.009	Pos	Low	Encode
408.536	11.272	Pos	Low	Maintain
419.808	3.225	Pos	Low	Probe
423.033	10.871	Pos	Low	Rest
433.904	3.211	Pos	Low	Cue
437.115	10.025	Pos	Low	Encode
447.14	11.303	Pos	Low	Maintain
458.443	2.19	Pos	Low	Probe
460.633	10.813	Pos	Low	Rest
471.446	3.16	Rot	Low	Cue
474.606	10.004	Rot	Low	Encode
484.61	11.288	Rot	Low	Maintain
495.898	2.27	Rot	Low	Probe
498.168	10.808	Rot	Low	Rest
508.976	3.17	Num	High	Cue
512.146	10.009	Num	High	Encode
522.155	11.32	Num	High	Maintain
533.475	5.967	Num	High	Probe
539.442	10.791	Num	High	Rest
550.233	3.08	Add	Low	Cue
553.313	10.058	Add	Low	Encode
563.371	11.33	Add	Low	Maintain
574.701	5.47	Add	Low	Probe
580.171	10.87	Add	Low	Rest
591.041	3.241	Pos	High	Cue
594.282	10.009	Pos	High	Encode
604.291	11.322	Pos	High	Maintain
615.613	3.317	Pos	High	Probe
618.93	10	Pos	High	Rest
