onset	duration	trial_type	load_type	processing_stage
1.089	3.162	Rot	Low	Cue
4.251	10.057	Rot	Low	Encode
14.308	11.318	Rot	Low	Maintain
25.626	5.012	Rot	Low	Probe
30.638	10.781	Rot	Low	Rest
41.419	3.13	Pos	High	Cue
44.549	10.009	Pos	High	Encode
54.558	11.322	Pos	High	Maintain
65.88	2.934	Pos	High	Probe
68.814	10.821	Pos	High	Rest
79.635	3.16	Pos	High	Cue
82.795	10.002	Pos	High	Encode
92.797	11.288	Pos	High	Maintain
104.085	5.002	Pos	High	Probe
109.087	10.878	Pos	High	Rest
119.965	3.08	Rot	Low	Cue
123.045	10.004	Rot	Low	Encode
133.049	11.287	Rot	Low	Maintain
144.336	1.8	Rot	Low	Probe
146.136	10.865	Rot	Low	Rest
157.001	3.3	Num	Low	Cue
160.301	10.01	Num	Low	Encode
170.311	11.276	Num	Low	Maintain
181.587	3.566	Num	Low	Probe
185.153	10.824	Num	Low	Rest
195.977	3.361	Pos	Low	Cue
199.338	10.058	Pos	Low	Encode
209.396	11.321	Pos	Low	Maintain
220.717	2.522	Pos	Low	Probe
223.239	10.824	Pos	Low	Rest
234.063	3.321	Add	Low	Cue
237.384	10.01	Add	Low	Encode
247.394	11.329	Add	Low	Maintain
258.723	3.037	Add	Low	Probe
261.76	10.886	Add	Low	Rest
272.646	3.242	Rot	High	Cue
275.888	10.04	Rot	High	Encode
285.928	11.293	Rot	High	Maintain
297.221	2.896	Rot	High	Probe
300.117	10.773	Rot	High	Rest
310.89	4.262	Num	High	Cue
315.152	10.011	Num	High	Encode
325.163	11.272	Num	High	Maintain
336.435	4.317	Num	High	Probe
340.752	10.856	Num	High	Rest
351.608	3.3	Add	High	Cue
354.908	10.025	Add	High	Encode
364.933	11.303	Add	High	Maintain
376.236	3.979	Add	High	Probe
380.215	10.804	Add	High	Rest
391.019	3.14	Rot	High	Cue
394.159	10.039	Rot	High	Encode
404.198	11.322	Rot	High	Maintain
415.52	3.755	Rot	High	Probe
419.275	10.878	Rot	High	Rest
430.153	5.373	Add	High	Cue
435.526	10.007	Add	High	Encode
445.533	11.321	Add	High	Maintain
456.854	6.579	Add	High	Probe
463.433	10.767	Add	High	Rest
474.2	3.341	Pos	Low	Cue
477.541	10.009	Pos	Low	Encode
487.55	11.322	Pos	Low	Maintain
498.872	2.381	Pos	Low	Probe
501.253	10.869	Pos	Low	Rest
512.122	3.2	Add	Low	Cue
515.322	10.01	Add	Low	Encode
525.332	11.293	Add	Low	Maintain
536.625	8.621	Add	Low	Probe
545.246	10.825	Add	Low	Rest
556.071	3.171	Num	High	Cue
559.242	10.057	Num	High	Encode
569.299	11.272	Num	High	Maintain
580.571	5.172	Num	High	Probe
585.743	10.829	Num	High	Rest
596.572	3.09	Num	Low	Cue
599.662	10.056	Num	Low	Encode
609.718	11.322	Num	Low	Maintain
621.04	4.26	Num	Low	Probe
625.3	10	Num	Low	Rest
