onset	duration	trial_type	load_type	processing_stage
1.104	3.41	Add	Low	Cue
4.514	10.049	Add	Low	Encode
14.563	11.287	Add	Low	Maintain
25.85	1.87	Add	Low	Probe
27.72	10.632	Add	Low	Rest
38.352	3.13	Rot	Low	Cue
41.482	10.009	Rot	Low	Encode
51.491	11.279	Rot	Low	Maintain
62.77	2.833	Rot	Low	Probe
65.603	10.826	Rot	Low	Rest
76.429	3.27	Add	Low	Cue
79.699	10.01	Add	Low	Encode
89.709	11.271	Add	Low	Maintain
100.98	2.4	Add	Low	Probe
103.38	10.857	Add	Low	Rest
114.237	3.13	Add	High	Cue
117.367	10.009	Add	High	Encode
127.376	11.32	Add	High	Maintain
138.696	1.64	Add	High	Probe
140.336	10.86	Add	High	Rest
151.196	3.271	Num	High	Cue
154.467	10.011	Num	High	Encode
164.478	11.272	Num	High	Maintain
175.75	7.873	Num	High	Probe
183.623	10.855	Num	High	Rest
194.478	3.111	Pos	Low	Cue
197.589	10.042	Pos	Low	Encode
207.631	11.288	Pos	Low	Maintain
218.919	2.695	Pos	Low	Probe
221.614	10.853	Pos	Low	Rest
232.467	3.09	Num	Low	Cue
235.557	10.038	Num	Low	Encode
245.595	11.32	Num	Low	Maintain
256.915	2.375	Num	Low	Probe
259.29	10.717	Num	Low	Rest
270.007	4.723	Rot	High	Cue
274.73	10.032	Rot	High	Encode
284.762	11.325	Rot	High	Maintain
296.087	6.246	Rot	High	Probe
302.333	10.72	Rot	High	Rest
313.053	3.2	Rot	High	Cue
316.253	10.008	Rot	High	Encode
326.261	11.328	Rot	High	Maintain
337.589	3.302	Rot	High	Probe
340.891	10.839	Rot	High	Rest
351.73	3.111	Add	High	Cue
354.841	10.056	Add	High	Encode
364.897	11.272	Add	High	Maintain
376.169	6.189	Add	High	Probe
382.358	10.81	Add	High	Rest
393.168	3.271	Pos	Low	Cue
396.439	10.042	Pos	Low	Encode
406.481	11.32	Pos	Low	Maintain
417.801	2.613	Pos	Low	Probe
420.414	10.778	Pos	Low	Rest
431.192	3.23	Num	High	Cue
434.422	10.009	Num	High	Encode
444.431	11.272	Num	High	Maintain
455.703	4.925	Num	High	Probe
460.628	10.826	Num	High	Rest
471.454	3.13	Num	Low	Cue
474.584	10.004	Num	Low	Encode
484.588	11.289	Num	Low	Maintain
495.877	4.504	Num	Low	Probe
500.381	10.793	Num	Low	Rest
511.174	3.515	Pos	High	Cue
514.689	10.007	Pos	High	Encode
524.696	11.292	Pos	High	Maintain
535.988	6.241	Pos	High	Probe
542.229	10.84	Pos	High	Rest
553.069	3.21	Rot	Low	Cue
556.279	10.042	Rot	Low	Encode
566.321	11.285	Rot	Low	Maintain
577.606	8.138	Rot	Low	Probe
585.744	10.839	Rot	Low	Rest
596.583	4.074	Pos	High	Cue
600.657	10.011	Pos	High	Encode
610.668	11.321	Pos	High	Maintain
621.989	8.857	Pos	High	Probe
630.846	10	Pos	High	Rest
