onset	duration	trial_type	load_type	processing_stage
1.098	3.123	Rot	Low	Cue
4.221	10.034	Rot	Low	Encode
14.255	11.298	Rot	Low	Maintain
25.553	2.797	Rot	Low	Probe
28.35	10.822	Rot	Low	Rest
39.172	3.54	Num	High	Cue
42.712	10.025	Num	High	Encode
52.737	11.252	Num	High	Maintain
63.989	6.481	Num	High	Probe
70.47	10.775	Num	High	Rest
81.245	3.35	Rot	Low	Cue
84.595	10.057	Rot	Low	Encode
94.652	11.328	Rot	Low	Maintain
105.98	2.896	Rot	Low	Probe
108.876	10.847	Rot	Low	Rest
119.723	3.09	Pos	High	Cue
122.813	10.04	Pos	High	Encode
132.853	11.322	Pos	High	Maintain
144.175	5.19	Pos	High	Probe
149.365	10.811	Pos	High	Rest
160.176	3.08	Pos	Low	Cue
163.256	10.004	Pos	Low	Encode
173.26	11.301	Pos	Low	Maintain
184.561	4.219	Pos	Low	Probe
188.78	10.81	Pos	Low	Rest
199.59	3.35	Pos	High	Cue
202.94	10.003	Pos	High	Encode
212.943	11.281	Pos	High	Maintain
224.224	3.143	Pos	High	Probe
227.367	10.913	Pos	High	Rest
238.28	3.16	Num	Low	Cue
241.44	10.004	Num	Low	Encode
251.444	11.288	Num	Low	Maintain
262.732	2.57	Num	Low	Probe
265.302	10.813	Num	Low	Rest
276.115	3.705	Add	High	Cue
279.82	10.025	Add	High	Encode
289.845	11.299	Add	High	Maintain
301.144	5.227	Add	High	Probe
306.371	10.779	Add	High	Rest
317.15	3.35	Add	Low	Cue
320.5	10.041	Add	Low	Encode
330.541	11.321	Add	Low	Maintain
341.862	3.709	Add	Low	Probe
345.571	10.841	Add	Low	Rest
356.412	3.35	Add	High	Cue
359.762	10.01	Add	High	Encode
369.772	11.273	Add	High	Maintain
381.045	7.277	Add	High	Probe
388.322	10.778	Add	High	Rest
399.1	3.08	Num	Low	Cue
402.18	10.01	Num	Low	Encode
412.19	11.33	Num	Low	Maintain
423.52	3.674	Num	Low	Probe
427.194	10.776	Num	Low	Rest
437.97	3.21	Add	Low	Cue
441.18	10	Add	Low	Encode
451.18	11.289	Add	Low	Maintain
462.469	2.787	Add	Low	Probe
465.256	10.853	Add	Low	Rest
476.109	3.161	Rot	High	Cue
479.27	10.025	Rot	High	Encode
489.295	11.303	Rot	High	Maintain
500.598	4.12	Rot	High	Probe
504.718	10.829	Rot	High	Rest
515.547	3.57	Rot	High	Cue
519.117	10.01	Rot	High	Encode
529.127	11.321	Rot	High	Maintain
540.448	2.7	Rot	High	Probe
543.148	10.833	Rot	High	Rest
553.981	3.65	Num	High	Cue
557.631	10.034	Num	High	Encode
567.665	11.302	Num	High	Maintain
578.967	4.901	Num	High	Probe
583.868	10.847	Num	High	Rest
594.715	3.17	Pos	Low	Cue
597.885	10.01	Pos	Low	Encode
607.895	11.322	Pos	Low	Maintain
619.217	3.41	Pos	Low	Probe
622.627	10	Pos	Low	Rest
