onset	duration	trial_type	load_type	processing_stage
1.073	3.217	Rot	Low	Cue
4.29	10.033	Rot	Low	Encode
14.323	11.252	Rot	Low	Maintain
25.575	2.852	Rot	Low	Probe
28.427	10.529	Rot	Low	Rest
38.956	3.2	Num	Low	Cue
42.156	10.05	Num	Low	Encode
52.206	11.251	Num	Low	Maintain
63.457	2.746	Num	Low	Probe
66.203	10.503	Num	Low	Rest
76.706	3.6	Add	High	Cue
80.306	10.034	Add	High	Encode
90.34	11.251	Add	High	Maintain
101.591	5.14	Add	High	Probe
106.731	10.525	Add	High	Rest
117.256	3.25	Pos	Low	Cue
120.506	10.05	Pos	Low	Encode
130.556	11.251	Pos	Low	Maintain
141.807	3.908	Pos	Low	Probe
145.715	10.558	Pos	Low	Rest
156.273	3.85	Pos	High	Cue
160.123	10.05	Pos	High	Encode
170.173	11.251	Pos	High	Maintain
181.424	2.955	Pos	High	Probe
184.379	10.544	Pos	High	Rest
194.923	3.167	Num	Low	Cue
198.09	10.033	Num	Low	Encode
208.123	11.251	Num	Low	Maintain
219.374	6.621	Num	Low	Probe
225.995	10.511	Num	Low	Rest
236.506	3.167	Pos	High	Cue
239.673	10.033	Pos	High	Encode
249.706	11.251	Pos	High	Maintain
260.957	4.485	Pos	High	Probe
265.442	10.514	Pos	High	Rest
275.956	3.167	Num	High	Cue
279.123	10.05	Num	High	Encode
289.173	11.251	Num	High	Maintain
300.424	7.059	Num	High	Probe
307.483	10.523	Num	High	Rest
318.006	3.7	Rot	High	Cue
321.706	10.05	Rot	High	Encode
331.756	11.251	Rot	High	Maintain
343.007	3.276	Rot	High	Probe
346.283	10.507	Rot	High	Rest
356.79	3.216	Add	High	Cue
360.006	10.034	Add	High	Encode
370.04	11.251	Add	High	Maintain
381.291	7.143	Add	High	Probe
388.434	10.522	Add	High	Rest
398.956	3.884	Rot	High	Cue
402.84	10.033	Rot	High	Encode
412.873	11.251	Rot	High	Maintain
424.124	3.311	Rot	High	Probe
427.435	10.521	Rot	High	Rest
437.956	3.317	Rot	Low	Cue
441.273	10.05	Rot	Low	Encode
451.323	11.251	Rot	Low	Maintain
462.574	3.109	Rot	Low	Probe
465.683	10.507	Rot	Low	Rest
476.19	3.083	Add	Low	Cue
479.273	10.05	Add	Low	Encode
489.323	11.251	Add	Low	Maintain
500.574	3.253	Add	Low	Probe
503.827	10.529	Add	Low	Rest
514.356	3.134	Add	Low	Cue
517.49	10.033	Add	Low	Encode
527.523	11.251	Add	Low	Maintain
538.774	2.365	Add	Low	Probe
541.139	10.517	Add	Low	Rest
551.656	3.284	Pos	Low	Cue
554.94	10.033	Pos	Low	Encode
564.973	11.251	Pos	Low	Maintain
576.224	4.122	Pos	Low	Probe
580.346	10.51	Pos	Low	Rest
590.856	3.117	Num	High	Cue
593.973	10.05	Num	High	Encode
604.023	11.251	Num	High	Maintain
615.274	5.241	Num	High	Probe
620.515	10	Num	High	Rest
