onset	duration	trial_type	load_type	processing_stage
1.089	3.45	Num	High	Cue
4.539	10.05	Num	High	Encode
14.589	11.253	Num	High	Maintain
25.842	4.669	Num	High	Probe
30.511	10.528	Num	High	Rest
41.039	3.133	Pos	Low	Cue
44.172	10.034	Pos	Low	Encode
54.206	11.251	Pos	Low	Maintain
65.457	5.982	Pos	Low	Probe
71.439	10.517	Pos	Low	Rest
81.956	3.083	Add	Low	Cue
85.039	10.05	Add	Low	Encode
95.089	11.251	Add	Low	Maintain
106.34	3.131	Add	Low	Probe
109.471	10.535	Add	Low	Rest
120.006	3.083	Num	Low	Cue
123.089	10.033	Num	Low	Encode
133.122	11.251	Num	Low	Maintain
144.373	2.858	Num	Low	Probe
147.231	10.525	Num	Low	Rest
157.756	3.883	Pos	High	Cue
161.639	10.033	Pos	High	Encode
171.672	11.252	Pos	High	Maintain
182.924	6.107	Pos	High	Probe
189.031	10.525	Pos	High	Rest
199.556	3.166	Add	Low	Cue
202.722	10.034	Add	Low	Encode
212.756	11.251	Add	Low	Maintain
224.007	4.696	Add	Low	Probe
228.703	10.519	Add	Low	Rest
239.222	3.167	Rot	Low	Cue
242.389	10.033	Rot	Low	Encode
252.422	11.251	Rot	Low	Maintain
263.673	2.406	Rot	Low	Probe
266.079	10.51	Rot	Low	Rest
276.589	3.133	Rot	Low	Cue
279.722	10.034	Rot	Low	Encode
289.756	11.251	Rot	Low	Maintain
301.007	5.624	Rot	Low	Probe
306.631	10.508	Rot	Low	Rest
317.139	3.317	Pos	Low	Cue
320.456	10.033	Pos	Low	Encode
330.489	11.251	Pos	Low	Maintain
341.74	4.091	Pos	Low	Probe
345.831	10.541	Pos	Low	Rest
356.372	3.467	Add	High	Cue
359.839	10.033	Add	High	Encode
369.872	11.251	Add	High	Maintain
381.123	10.049	Add	High	Probe
391.172	10.5	Add	High	Rest
401.672	3.2	Rot	High	Cue
404.872	10.05	Rot	High	Encode
414.922	11.251	Rot	High	Maintain
426.173	9.634	Rot	High	Probe
435.807	10.532	Rot	High	Rest
446.339	3.4	Num	High	Cue
449.739	10.05	Num	High	Encode
459.789	11.251	Num	High	Maintain
471.04	5.447	Num	High	Probe
476.487	10.502	Num	High	Rest
486.989	3.05	Add	High	Cue
490.039	10.033	Add	High	Encode
500.072	11.251	Add	High	Maintain
511.323	4.18	Add	High	Probe
515.503	10.536	Add	High	Rest
526.039	3.35	Rot	High	Cue
529.389	10.033	Rot	High	Encode
539.422	11.252	Rot	High	Maintain
550.674	3.436	Rot	High	Probe
554.11	10.529	Rot	High	Rest
564.639	3.317	Num	Low	Cue
567.956	10.033	Num	Low	Encode
577.989	11.251	Num	Low	Maintain
589.24	3.071	Num	Low	Probe
592.311	10.511	Num	Low	Rest
602.822	3.417	Pos	High	Cue
606.239	10.033	Pos	High	Encode
616.272	11.251	Pos	High	Maintain
627.523	8.036	Pos	High	Probe
635.559	10	Pos	High	Rest
