onset	duration	trial_type	load_type	processing_stage
1.121	3.26	Rot	High	Cue
4.381	10.034	Rot	High	Encode
14.415	11.251	Rot	High	Maintain
25.666	2.695	Rot	High	Probe
28.361	10.803	Rot	High	Rest
39.164	3.912	Pos	High	Cue
43.076	10.051	Pos	High	Encode
53.127	11.278	Pos	High	Maintain
64.405	7.42	Pos	High	Probe
71.825	10.792	Pos	High	Rest
82.617	3.331	Pos	Low	Cue
85.948	10.004	Pos	Low	Encode
95.952	11.281	Pos	Low	Maintain
107.233	3.315	Pos	Low	Probe
110.548	10.821	Pos	Low	Rest
121.369	3.303	Pos	High	Cue
124.672	10.031	Pos	High	Encode
134.703	11.301	Pos	High	Maintain
146.004	3.083	Pos	High	Probe
149.087	10.833	Pos	High	Rest
159.92	3.17	Num	High	Cue
163.09	10.041	Num	High	Encode
173.131	11.322	Num	High	Maintain
184.453	3.583	Num	High	Probe
188.036	10.833	Num	High	Rest
198.869	3.17	Rot	Low	Cue
202.039	10.058	Rot	Low	Encode
212.097	11.329	Rot	Low	Maintain
223.426	3.864	Rot	Low	Probe
227.29	10.829	Rot	Low	Rest
238.119	3.14	Pos	Low	Cue
241.259	10.041	Pos	Low	Encode
251.3	11.321	Pos	Low	Maintain
262.621	3.412	Pos	Low	Probe
266.033	10.836	Pos	Low	Rest
276.869	3.74	Rot	High	Cue
280.609	10.057	Rot	High	Encode
290.666	11.271	Rot	High	Maintain
301.937	4.785	Rot	High	Probe
306.722	10.798	Rot	High	Rest
317.52	3.754	Add	High	Cue
321.274	10.01	Add	High	Encode
331.284	11.322	Add	High	Maintain
342.606	4.363	Add	High	Probe
346.969	10.836	Add	High	Rest
357.805	3.09	Num	High	Cue
360.895	10.044	Num	High	Encode
370.939	11.251	Num	High	Maintain
382.19	9.245	Num	High	Probe
391.435	10.838	Num	High	Rest
402.273	3.09	Num	Low	Cue
405.363	10.025	Num	Low	Encode
415.388	11.303	Num	Low	Maintain
426.691	1.7	Num	Low	Probe
428.391	10.885	Num	Low	Rest
439.276	3.571	Add	High	Cue
442.847	10.024	Add	High	Encode
452.871	11.303	Add	High	Maintain
464.174	9.105	Add	High	Probe
473.279	10.809	Add	High	Rest
484.088	3.12	Add	Low	Cue
487.208	10.011	Add	Low	Encode
497.219	11.32	Add	Low	Maintain
508.539	2.407	Add	Low	Probe
510.946	10.823	Add	Low	Rest
521.769	3.107	Add	Low	Cue
524.876	10.01	Add	Low	Encode
534.886	11.322	Add	Low	Maintain
546.208	2.488	Add	Low	Probe
548.696	10.81	Add	Low	Rest
559.506	3.09	Rot	Low	Cue
562.596	10.009	Rot	Low	Encode
572.605	11.322	Rot	Low	Maintain
583.927	2.646	Rot	Low	Probe
586.573	10.853	Rot	Low	Rest
597.426	3.345	Num	Low	Cue
600.771	10.025	Num	Low	Encode
610.796	11.329	Num	Low	Maintain
622.125	2.519	Num	Low	Probe
624.644	10	Num	Low	Rest
