onset	duration	trial_type	load_type	processing_stage
1.132	3.243	Pos	Low	Cue
4.375	10.056	Pos	Low	Encode
14.431	11.272	Pos	Low	Maintain
25.703	2.632	Pos	Low	Probe
28.335	10.866	Pos	Low	Rest
39.201	3.44	Rot	Low	Cue
42.641	10.041	Rot	Low	Encode
52.682	11.322	Rot	Low	Maintain
64.004	2.834	Rot	Low	Probe
66.838	10.831	Rot	Low	Rest
77.669	3.34	Pos	High	Cue
81.009	10.041	Pos	High	Encode
91.05	11.326	Pos	High	Maintain
102.376	2.24	Pos	High	Probe
104.616	10.816	Pos	High	Rest
115.432	3.606	Num	High	Cue
119.038	10.011	Num	High	Encode
129.049	11.278	Num	High	Maintain
140.327	1.67	Num	High	Probe
141.997	10.742	Num	High	Rest
152.739	3.14	Add	High	Cue
155.879	10.024	Add	High	Encode
165.903	11.303	Add	High	Maintain
177.206	3.917	Add	High	Probe
181.123	10.784	Add	High	Rest
191.907	6.034	Num	High	Cue
197.941	10.01	Num	High	Encode
207.951	11.329	Num	High	Maintain
219.28	4.361	Num	High	Probe
223.641	10.833	Num	High	Rest
234.474	3.27	Add	Low	Cue
237.744	10.01	Add	Low	Encode
247.754	11.321	Add	Low	Maintain
259.075	1.44	Add	Low	Probe
260.515	10.814	Add	Low	Rest
271.329	3.31	Num	Low	Cue
274.639	10.004	Num	Low	Encode
284.643	11.287	Num	Low	Maintain
295.93	2.34	Num	Low	Probe
298.27	10.82	Num	Low	Rest
309.09	3.09	Add	Low	Cue
312.18	10.057	Add	Low	Encode
322.237	11.271	Add	Low	Maintain
333.508	2.414	Add	Low	Probe
335.922	10.836	Add	Low	Rest
346.758	3.64	Pos	High	Cue
350.398	10.058	Pos	High	Encode
360.456	11.321	Pos	High	Maintain
371.777	5.47	Pos	High	Probe
377.247	10.824	Pos	High	Rest
388.071	3.157	Pos	Low	Cue
391.228	10.011	Pos	Low	Encode
401.239	11.321	Pos	Low	Maintain
412.56	1.61	Pos	Low	Probe
414.17	10.805	Pos	Low	Rest
424.975	3.142	Rot	Low	Cue
428.117	10.025	Rot	Low	Encode
438.142	11.301	Rot	Low	Maintain
449.443	2.997	Rot	Low	Probe
452.44	10.837	Rot	Low	Rest
463.277	3.413	Rot	High	Cue
466.69	10.032	Rot	High	Encode
476.722	11.321	Rot	High	Maintain
488.043	2.37	Rot	High	Probe
490.413	10.722	Rot	High	Rest
501.135	3.26	Rot	High	Cue
504.395	10.032	Rot	High	Encode
514.427	11.256	Rot	High	Maintain
525.683	2.537	Rot	High	Probe
528.22	10.763	Rot	High	Rest
538.983	3.17	Num	Low	Cue
542.153	10.025	Num	Low	Encode
552.178	11.302	Num	Low	Maintain
563.48	1.86	Num	Low	Probe
565.34	10.762	Num	Low	Rest
576.102	3.38	Add	High	Cue
579.482	10.01	Add	High	Encode
589.492	11.272	Add	High	Maintain
600.764	4.129	Add	High	Probe
604.893	10	Add	High	Rest
