onset	duration	trial_type	load_type	processing_stage
1.122	3.742	Num	High	Cue
4.864	10.032	Num	High	Encode
14.896	11.295	Num	High	Maintain
26.191	5.392	Num	High	Probe
31.583	10.866	Num	High	Rest
42.449	3.156	Add	Low	Cue
45.605	10.007	Add	Low	Encode
55.612	11.273	Add	Low	Maintain
66.885	2.05	Add	Low	Probe
68.935	10.846	Add	Low	Rest
79.781	3.691	Rot	High	Cue
83.472	10.01	Rot	High	Encode
93.482	11.322	Rot	High	Maintain
104.804	2.11	Rot	High	Probe
106.914	10.839	Rot	High	Rest
117.753	3.291	Pos	High	Cue
121.044	10.038	Pos	High	Encode
131.082	11.295	Pos	High	Maintain
142.377	2.505	Pos	High	Probe
144.882	10.773	Pos	High	Rest
155.655	3.67	Add	High	Cue
159.325	10.01	Add	High	Encode
169.335	11.321	Add	High	Maintain
180.656	6.469	Add	High	Probe
187.125	10.814	Add	High	Rest
197.939	3.17	Pos	Low	Cue
201.109	10.057	Pos	Low	Encode
211.166	11.32	Pos	Low	Maintain
222.486	2.17	Pos	Low	Probe
224.656	10.833	Pos	Low	Rest
235.489	3.52	Pos	Low	Cue
239.009	10.003	Pos	Low	Encode
249.012	11.277	Pos	Low	Maintain
260.289	2.835	Pos	Low	Probe
263.124	10.797	Pos	Low	Rest
273.921	3.42	Num	High	Cue
277.341	10.004	Num	High	Encode
287.345	11.284	Num	High	Maintain
298.629	7.014	Num	High	Probe
305.643	10.814	Num	High	Rest
316.457	3.14	Add	Low	Cue
319.597	10.025	Add	Low	Encode
329.622	11.303	Add	Low	Maintain
340.925	3.651	Add	Low	Probe
344.576	10.798	Add	Low	Rest
355.374	3.413	Rot	Low	Cue
358.787	10.032	Rot	Low	Encode
368.819	11.293	Rot	Low	Maintain
380.112	6.2	Rot	Low	Probe
386.312	10.829	Rot	Low	Rest
397.141	3.22	Num	Low	Cue
400.361	10.007	Num	Low	Encode
410.368	11.279	Num	Low	Maintain
421.647	3.005	Num	Low	Probe
424.652	10.823	Num	Low	Rest
435.475	4.419	Rot	High	Cue
439.894	10.031	Rot	High	Encode
449.925	11.302	Rot	High	Maintain
461.227	1.98	Rot	High	Probe
463.207	10.85	Rot	High	Rest
474.057	3.12	Num	Low	Cue
477.177	10.011	Num	Low	Encode
487.188	11.293	Num	Low	Maintain
498.481	2.08	Num	Low	Probe
500.561	10.839	Num	Low	Rest
511.4	3.251	Rot	Low	Cue
514.651	10.026	Rot	Low	Encode
524.677	11.301	Rot	Low	Maintain
535.978	5.695	Rot	Low	Probe
541.673	10.889	Rot	Low	Rest
552.562	4.393	Pos	High	Cue
556.955	10.041	Pos	High	Encode
566.996	11.287	Pos	High	Maintain
578.283	3.754	Pos	High	Probe
582.037	10.797	Pos	High	Rest
592.834	4.603	Add	High	Cue
597.437	10.037	Add	High	Encode
607.474	11.322	Add	High	Maintain
618.796	10.005	Add	High	Probe
628.801	10	Add	High	Rest
